idx,farm_id,village_id,village_name,area_ha,erode_m,cx,cy,core_px,cov_frac_T1,g0_lin_T1,g0_db_T1,cov_T1,enl_T1,npx_T1,cov_frac_T2,g0_lin_T2,g0_db_T2,cov_T2,enl_T2,npx_T2,cov_frac_T3,g0_lin_T3,g0_db_T3,cov_T3,enl_T3,npx_T3,cov_frac_T4,g0_lin_T4,g0_db_T4,cov_T4,enl_T4,npx_T4,n_valid_dates,data_quality,core_px_low,impute_donor_dist_m,g0_db_filled_T1,g0_db_filled_T2,g0_db_filled_T3,g0_db_filled_T4,slope_early,slope_late,slope_emerge,curvature,dynamic_range,peak_idx,mean_db,auc,flood_depth
1,1,22,Sokhda,0.28426021083611996,2.6348809949793752,312036.84529999556,2481731.222992558,2177,1.0,0.008173382357206964,-20.87598183971089,0.968786513074571,1.0654763926831987,2177,1.0,0.023514962817763836,-16.286557036307556,0.8825922673683817,1.2837479517805288,2177,1.0,0.006489858526590304,-21.877647703476807,1.0049509657565407,0.990171122225629,2177,1.0,0.006926059384458905,-21.595137891030106,1.009129983775995,0.9819870924465008,2177,4,measured,False,,-20.87598183971089,-16.286557036307556,-21.877647703476807,-21.595137891030106,-0.014516896576317658,0.004708496874111686,0.35303267718487175,1.2841756762126195,5.591090667169251,1,-20.15883111763134,-20.26618452126581,1.0016658637659184
2,2,22,Sokhda,0.22154182518841697,2.7874519343960458,312090.621017638,2481725.1919046543,1691,1.0,0.00906219138983208,-20.427667699354433,0.9548958782447176,1.0967003006480247,1691,1.0,0.023117939011415626,-16.360508863357108,0.9186614146130885,1.1849200514081768,1691,1.0,0.007613903801768663,-21.183926146013683,0.9942909008931843,1.0115167293251095,1691,1.0,0.008018279655942354,-20.959188008025595,1.0234911011516186,0.9546229214636132,1691,4,measured,False,,-20.427667699354433,-16.360508863357108,-21.183926146013683,-20.959188008025595,-0.010960267342887667,0.0037456356331347844,0.31285837199979427,0.9809965846473361,4.823417282656575,1,-19.732822679187706,-19.80357172512547,0.756258446659249
3,3,22,Sokhda,0.5008628882669495,4.0,312088.8504090625,2481665.8682754724,3905,1.0,0.009336953081705065,-20.2979482352235,0.971486720994527,1.0595617271118611,3905,1.0,0.024335770051649386,-16.137549069141702,0.886601861543183,1.2721628889392353,3905,1.0,0.006020199525822703,-22.203891148006765,0.9792914000644041,1.0427402043766603,3905,1.0,0.010943455562580582,-19.60845521257046,1.0036339498813949,0.9927715259267493,3905,4,measured,False,,-20.2979482352235,-16.137549069141702,-22.203891148006765,-19.60845521257046,-0.02762236105482991,0.0432572655906051,0.3200307050832153,4.50137884821957,6.066342078865063,1,-19.561960916235606,-19.881871700587965,1.9059429127832637
4,4,22,Sokhda,0.033637670654978136,0.4484374752688601,312172.36768223235,2481716.784407715,254,1.0,0.006970963250507597,-21.56707206769135,0.9614382753855311,1.0818254268248964,254,1.0,0.017965743302846122,-17.455548098733896,0.8600129504254947,1.352041486494972,254,1.0,0.010825705342039162,-19.655437978682688,1.045631505552492,0.914624181340376,254,1.0,0.007747727356977198,-21.10825670534714,1.0071076468273428,0.9859348386536024,254,4,measured,False,,-21.56707206769135,-17.455548098733896,-19.655437978682688,-21.10825670534714,0.02770484186969074,-0.024213645444407562,0.3162710745351887,-3.364452815673115,4.111523968957453,1,-19.946578712613768,-19.501282804421113,-1.9116340890086612
5,5,22,Sokhda,0.567528811231628,4.0,312141.7216362873,2481664.2114504697,4432,1.0,0.009072983982895943,-20.422498558091583,1.0045386346832028,0.9909841563890376,4432,1.0,0.024883556478610423,-16.04087548070756,0.8825391063143931,1.2839026133680222,4432,1.0,0.007183236094353465,-21.436798591980697,1.0917353016286104,0.839006436990155,4432,1.0,0.01459407199118048,-18.35823515744355,0.9098835449604082,1.207892759668254,4432,4,measured,False,,-20.422498558091583,-16.04087548070756,-21.436798591980697,-18.35823515744355,-0.014700000491146581,0.05130939057561914,0.3370479290295403,4.092863468426263,5.395923111273138,1,-19.06460194705585,-19.226649750156536,1.0143000338891142
6,6,22,Sokhda,0.8378502189362421,4.0,312209.6199449749,2481644.8060316537,6800,1.0,0.010884298101918296,-19.63199572161919,1.016789342632619,0.967248419794181,6800,1.0,0.01815067576108397,-17.411072012699304,0.9415645519567502,1.1279758470979364,6800,1.0,0.010457392285523864,-19.805766000959842,1.054712897871493,0.8989416155885857,6800,1.0,0.009153753635128744,-20.384007803885034,1.028366923770676,0.9455920249915607,6800,4,measured,False,,-19.63199572161919,-17.411072012699304,-19.805766000959842,-20.384007803885034,-0.002518409845516685,-0.009637363382086523,0.17084028530152978,-0.4044715235845402,2.97293579118573,1,-19.308210384790844,-19.291043556595913,0.17377027934065126
7,7,22,Sokhda,0.19507209120010957,2.6425548522796127,312238.27495935524,2481683.1301920624,1491,1.0,0.009526959758727678,-20.210456692108142,0.987836374764743,1.0247784214965667,1491,1.0,0.01918989548040103,-17.16927390684471,0.8785150891736786,1.2956913204211786,1491,1.0,0.006685867464080567,-21.74842236805516,1.0006502560980954,0.9987007552038828,1491,1.0,0.00867498942964604,-20.61731045718552,0.9815461963156996,1.0379549661950631,1491,4,measured,False,,-20.210456692108142,-17.16927390684471,-21.74842236805516,-20.61731045718552,-0.02228935762242054,0.018851865181160634,0.23393713732795618,2.6690775868166554,4.579148461210448,1,-19.936365856048383,-20.18322270812101,1.5379656759470173
8,8,22,Sokhda,0.8917320682279766,4.0,312333.7072005847,2481638.92354935,7417,1.0,0.009180064539651322,-20.371542655181578,0.9839323353494723,1.0329267713958148,7417,1.0,0.017214421297241572,-17.6410757253172,0.9406005828872581,1.1302890308688638,7417,1.0,0.006893340393754815,-21.61570275476599,1.0684005960842564,0.8760557746754356,7417,1.0,0.008321843758801576,-20.797804422714176,1.067432154379422,0.8776461217705656,7417,4,measured,False,,-20.371542655181578,-17.6410757253172,-21.61570275476599,-20.797804422714176,-0.018031305791078443,0.013631638867530249,0.21003591768187518,2.0620584316362276,3.97462702944879,1,-20.106531389494737,-20.299821955348655,1.2441600995844126
9,9,22,Sokhda,0.41706698290035127,3.8658407999326583,312456.0426881235,2481618.7123796674,3189,1.0,0.00837747222266218,-20.76887003488458,0.9676773380287649,1.0679203418879317,3189,1.0,0.010895106500723681,-19.62768520126257,0.8923886770128466,1.2557173582634527,3189,1.0,0.011059754361559069,-19.56254518655562,1.0537707431313652,0.900549784588347,3189,1.0,0.012005923078657717,-19.20604443474024,1.0325479978739442,0.9379495991818159,3189,4,measured,False,,-20.76887003488458,-19.62768520126257,-19.56254518655562,-19.20604443474024,0.017482968816361705,0.0059416791969230335,0.08778344874015459,-0.8498240965135757,1.5628256001443397,3,-19.791286214360753,-19.55784301188172,-1.2063248483289577
10,10,22,Sokhda,0.38603558519240466,2.7964445983433905,312647.0338517665,2481484.8011771645,2945,1.0,0.010613603672575097,-19.74137133592565,1.0073468052503223,0.9854667443896411,2945,1.0,0.02349394724991917,-16.290440106876048,0.9375433137918542,1.1376726512609872,2945,1.0,0.01089170684292574,-19.629040564812716,1.0718770533007398,0.8703823039974934,2945,1.0,0.013052139896796313,-18.84318279959165,1.0021550993998947,0.9957036946310224,2945,4,measured,False,,-19.74137133592565,-16.290440106876048,-19.629040564812716,-18.84318279959165,0.0016279821900425152,0.013097629420351116,0.26545624838843085,0.6735269941081334,3.4509312290496013,1,-18.626008701801513,-18.55906150478781,-0.11233077111293355
