farm_id,ndvi_T4,ndvi_cov_T4,ndvi_scene_T4,ndvi_date_T4,ndvi_T4R,ndvi_cov_T4R,ndvi_scene_T4R,ndvi_date_T4R,ndvi_T1,ndvi_cov_T1,ndvi_scene_T1,ndvi_date_T1
1,0.26915757017886904,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.29554459380074055,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.15359217190980692,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
2,0.23747040781658968,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.24526213375616893,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.1876301806417885,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
3,0.42816227301287435,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.5049443763898979,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.19232511804290067,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
4,0.3586178407894345,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.4687454821321908,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.27456539235715793,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
5,0.32804846509430385,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3104956278792626,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.22877051406254192,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
6,0.34863112278940045,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.34662686106255824,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.35730317205300227,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
7,0.3951521836456079,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.4240568070544403,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.21482523216408103,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
8,0.37549049099757853,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.4222656401828307,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.36738075599831777,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
9,0.6600372673165055,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.6756836350302817,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.6359708493090079,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
10,0.5241747877796153,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.5836005968634665,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.32209969134606004,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
