zone,n_farms,area_ha,health_index_area_wt,yield_t_ha_area_wt,production_t,dominant_crop,measured_share
Z71,9,3.6155865411913197,30.79786911196588,1.688329995669065,6.10430320943067,Groundnut,0.7777777777777778
Z73,20,15.574400716892676,30.810772136032586,1.6959496411873693,26.41339930752244,Groundnut,1.0
Z62,7,5.651232474463485,31.014065279478555,1.8845162379815363,10.649839362735015,Maize,1.0
Z30,10,8.039548431635206,33.7156964367791,2.0190981284125855,16.232637191596982,Groundnut,1.0
Z72,16,9.295588585259477,35.82567086746971,1.7586531590741656,16.347716230920334,Maize,0.9375
Z63,18,11.452413108234806,36.16246784236394,1.916761442355682,21.951543867793266,Maize,1.0
Z74,13,6.990977259791203,37.041758892023,2.0293098574571107,14.186859066552787,Maize,1.0
Z56,25,11.27691008101461,37.51427457029924,1.933717074674994,21.80635357323252,Rice,1.0
Z51,17,10.50185512140125,39.300541125747245,2.335526693444842,24.527362966723043,Maize,1.0
Z46,25,8.347454288095232,39.77705204460234,1.8773476415852388,15.671073620996172,Rice,1.0
Z52,7,4.736728563196072,40.51098859047053,2.220743368779099,10.519058546424226,Maize,1.0
Z41,22,13.898671334301255,41.013717814001396,2.066465919348475,28.721130636559142,Maize,1.0
Z31,14,13.749688480213683,42.31103380504463,2.18295060577636,30.0148907971187,Maize,1.0
Z04,62,11.168389865419632,43.92452564491911,2.274407329428713,25.401467767827768,Maize,0.6290322580645161
Z32,23,19.36128406572336,44.47515949549859,2.1334038709617573,41.30543837260441,Groundnut,1.0
Z10,5,2.959298159284228,44.84377615423306,1.8216524275385182,5.390812675670382,Cotton,1.0
Z55,14,9.108554883861773,44.887097544326906,1.9987146952724084,18.20540249906979,Maize,1.0
Z64,23,20.628434905271696,45.17579835137262,2.238090366015181,46.168301427459866,Groundnut,1.0
Z54,16,10.39314938356364,45.75793108546389,1.9816896515653415,20.595996580580774,Rice,1.0
Z22,16,11.705273146247434,46.02077468882512,1.6549815387608873,19.37201096319307,Cotton,1.0
Z42,19,16.585310633723083,46.73977932230182,2.075249769250639,34.418662065584,Maize,1.0
Z23,27,9.479323329600781,47.086803146631745,1.8723790956607378,17.748886843353645,Cotton,1.0
Z43,24,13.589895866986172,48.54741909939336,1.996306411128242,27.129596245829696,Cotton,1.0
Z45,38,12.908471997668691,49.446464018520636,1.9327282839212854,24.948568932100176,Cotton,1.0
Z50,15,9.453005310791363,49.451439705001285,2.77119599397546,26.196130448293772,Maize,0.9333333333333333
Z44,26,12.828575713698005,49.789428698792655,1.8989153252025806,24.360379023262773,Bajra,1.0
Z21,18,17.000809227066043,50.167541216981206,2.3891266209872035,40.61708590270837,Groundnut,1.0
Z61,21,15.195556556622508,51.223341529074304,2.67900774303208,40.70901367487359,Groundnut,0.9523809523809523
Z34,37,7.235038348519988,51.755230447605456,2.302548220146762,16.659024672078267,Maize,1.0
Z53,5,3.9102128612507485,51.924378858234704,2.2867331094368484,8.94161321476788,Groundnut,1.0
Z60,17,12.302381162311727,53.548802884032256,2.3722932635873364,29.184855957435854,Rice,1.0
Z05,8,1.383889017980275,54.01302987864195,2.7528263277594345,3.8096061233932503,Groundnut,0.0
Z03,33,7.357631855749585,54.1416651550413,2.509126674816154,18.46123035273836,Bajra,1.0
Z12,30,13.250493974973303,55.29498634193589,2.583285811591705,34.22981308212991,Maize,1.0
Z33,28,15.415681777121442,55.88765175201234,2.290314708801956,35.30676272035152,Cotton,1.0
Z35,16,7.809889841139048,56.477753101600676,2.680199669151281,20.93206416832883,Bajra,1.0
Z13,36,8.93785921481221,57.24801515065885,2.7571094257764015,24.64265588742121,Maize,1.0
Z66,9,0.5502438870330264,57.74723160809642,2.8378476975579776,1.561508347912026,Groundnut,0.4444444444444444
Z01,9,6.958641889670343,59.052156111432936,2.995255794658239,20.842912442986652,Maize,1.0
Z02,18,8.256462585991423,59.5110017417119,3.0626492231687656,25.28664872510861,Groundnut,1.0
Z15,57,7.319845346824284,60.187960303545815,2.9881334473141354,21.87267471001238,Groundnut,0.5087719298245614
Z24,10,2.068753324658592,60.20299261319339,2.6579766461245384,5.498698023535033,Maize,1.0
Z25,32,4.870470317064221,60.79411339807165,3.0218706763487666,14.71793143116345,Maize,1.0
Z14,33,5.948311224143676,60.86042998070531,3.0116621724563104,17.9143039037508,Maize,1.0
Z36,8,1.7097254808808267,61.57379129176843,3.030104477027515,5.180646834105014,Maize,1.0
Z11,10,7.076668077928502,62.76662226911378,2.822051794769498,19.97072385030614,Groundnut,1.0
