farm_id,village_id,area_ha,buffer_level,g0_db_20250606,g0_lin_20250606,g0_db_med_20250606,cv_20250606,ktex_20250606,npix_20250606,inc_20250606,cov_20250606,b0_db_20250606,nesz_margin_db_20250606,nesz_frac0_20250606,nesz_frac3_20250606,nesz_frac6_20250606,g0_db_20250619,g0_lin_20250619,g0_db_med_20250619,cv_20250619,ktex_20250619,npix_20250619,inc_20250619,cov_20250619,b0_db_20250619,nesz_margin_db_20250619,nesz_frac0_20250619,nesz_frac3_20250619,nesz_frac6_20250619,g0_db_20250814,g0_lin_20250814,g0_db_med_20250814,cv_20250814,ktex_20250814,npix_20250814,inc_20250814,cov_20250814,b0_db_20250814,nesz_margin_db_20250814,nesz_frac0_20250814,nesz_frac3_20250814,nesz_frac6_20250814,g0_db_20251013,g0_lin_20251013,g0_db_med_20251013,cv_20251013,ktex_20251013,npix_20251013,inc_20251013,cov_20251013,b0_db_20251013,nesz_margin_db_20251013,nesz_frac0_20251013,nesz_frac3_20251013,nesz_frac6_20251013,g0_db_20251029,g0_lin_20251029,g0_db_med_20251029,cv_20251029,ktex_20251029,npix_20251029,inc_20251029,cov_20251029,b0_db_20251029,nesz_margin_db_20251029,nesz_frac0_20251029,nesz_frac3_20251029,nesz_frac6_20251029,g0_db_20251112,g0_lin_20251112,g0_db_med_20251112,cv_20251112,ktex_20251112,npix_20251112,inc_20251112,cov_20251112,b0_db_20251112,nesz_margin_db_20251112,nesz_frac0_20251112,nesz_frac3_20251112,nesz_frac6_20251112,d_aug_jun19,d_oct13_aug,d_oct29_oct13,d_nov_oct13,d_nov_oct29,d_late,jun_baseline_db,ref_20250814,ref_20251013,ref_20251029,ref_20251112,temporal_cv,temporal_range_db,season_integral,senescence_db_per_day,glcm_ent_20250606,glcm_resid_20250606,glcm_ent_20250619,glcm_resid_20250619,glcm_ent_20250814,glcm_resid_20250814,glcm_ent_20251013,glcm_resid_20251013,glcm_ent_20251029,glcm_resid_20251029,glcm_ent_20251112,glcm_resid_20251112,n_dates,qc_flag,crop_type,p_assigned,entropy,yield_sd,p_Rice,p_Cotton,p_Maize,p_Bajra,p_Groundnut,health_sd_pts,dw_mode,health_index,health_alt,health_ensemble_spread,modifier,yield_forecast_t_ha,yield_to_date_t_ha,label_confidence,label_entropy,flag_non_crop,flag_qc,ens_sd_t_ha
1,22,0.2842602108358393,0,-19.872296988581454,0.0102984129211329,-20.27436321886499,0.3748683957157818,0.0,66,35.26639366149902,1.0,-18.36745351219748,7.759979007098295,0.0,0.0151515151515151,0.1515151515151515,-15.624114585720497,0.0273897798421482,-15.994462965142198,0.4710830174367016,0.0317256658421074,66,28.79837154619621,1.0,-13.025507663979194,14.737636987252994,0.0,0.0,0.0,-21.255399929738303,0.0074896238546705,-21.62584715106253,0.4537487116829755,0.0224313440027859,66,28.72305043538412,1.0,-18.64325256722284,9.331268714604242,0.0,0.0,0.1212121212121212,-20.29747651042944,0.0093379673040048,-20.550290714627145,0.4376499209894213,0.0193928898204684,66,31.555676980452105,1.0,-18.18016613743399,9.166369657956416,0.0,0.0,0.1212121212121212,-16.929274805067312,0.0202802133492448,-17.184200518729966,0.4261299770241163,0.0278785332653428,66,29.76409744493889,1.0,-14.502286529220536,13.239647448104131,0.0,0.0,0.0,-22.02928658765428,0.0062671680652508,-22.448217000171084,0.4219841911744539,0.0126385070743015,66,29.77713498202237,1.0,-19.60458943079113,8.112152489371436,0.0,0.0,0.1818181818181818,-5.63128534401781,0.957923419308873,3.3682017053621216,-1.7318100772248428,-5.100011782586964,-0.7738866579159698,-17.748205787150976,-3.5071941425873305,-2.549270723278457,0.8189309820836641,-4.2810808005033,0.5692588869811768,6.40517200193378,2.1492014063599827,-0.051378136085184,3.128857595865335,-0.0977350864066366,3.036525160421986,0.0388288851022666,3.080947568303221,0.0341395468760321,3.0606826878857287,-0.0691154658616497,3.1133199827159705,-0.0492128153526953,3.2325975413905668,-0.011137021352733,6,ok,Rice,0.5744,0.6993765960190401,0.4048128889485439,0.5744,0.0258,0.0348,0.2492,0.1158,5.893787828934645,4.0,39.63,45.25,5.619999999999997,0.9338,1.5781,1.5781,0.5744,0.6993765960190401,,ok,0.0403
2,22,0.2215418251883499,0,-18.96525198658749,0.012690385100855,-18.858231366600737,0.2939484520346019,0.0,55,35.263114443692295,1.0,-17.4599074109799,8.667525108315875,0.0,0.0,0.0727272727272727,-15.469318350417026,0.0283836449073119,-15.96168327511948,0.4757526375446428,0.0354588369534369,55,28.794760339910333,1.0,-12.870066199174676,14.893078452057514,0.0,0.0,0.0,-20.425299975504508,0.0090671333399685,-20.59109714709624,0.5061886110627373,0.065112084640277,55,28.71933444630016,1.0,-17.812495199191126,10.162026082635958,0.0,0.0,0.0545454545454545,-20.188923367537424,0.0095743139274418,-20.44133597948036,0.4515869536332107,0.0299957170068665,55,31.55208337957209,1.0,-18.070964264725347,9.275571530665058,0.0,0.0,0.0545454545454545,-16.763892739372316,0.0210673895664513,-17.14235753215768,0.4839431499552601,0.073648360897665,55,29.76756848421964,1.0,-14.337522814019366,13.404411163305303,0.0,0.0,0.0,-21.8505753007275,0.0065304403955286,-22.43269005441299,0.4145378427841821,0.0072841930890559,55,29.77341336337003,1.0,-19.425211140264743,8.291530779897819,0.0,0.0,0.1272727272727272,-4.955981625087482,0.2363766079670846,3.425030628165107,-1.6616519331900754,-5.086682561355183,-1.4252753252229908,-17.217285168502258,-3.2080148070022503,-2.9716381990351657,0.4533924291299414,-4.633290132225241,0.5296469622169422,6.381256950310473,2.3131648416842587,-0.0490108164231014,3.241476502345737,0.0287071020505234,2.974255718522774,-0.0054672938472202,2.98952598584617,-0.0429706511260707,3.1231134546588235,0.0070266296402268,3.2955626774672737,0.1462152285015272,3.2586478505090994,0.0300085053227725,6,ok,Rice,0.4627,0.8458246113227442,0.5306383263231088,0.4627,0.0602,0.0754,0.23,0.1718,6.6721960506428495,4.0,45.61,50.65,5.039999999999999,0.9803,1.6567,1.6567,0.4627,0.8458246113227442,,ok,0.0418
3,22,0.5008628882666493,0,-19.24955790802129,0.0118862321770221,-19.64163255216,0.4453452956419503,0.0444366389743859,148,35.25994669424521,1.0,-17.743691098733944,8.38374142056183,0.0067567567567567,0.0135135135135135,0.1216216216216216,-15.866374415449696,0.0259037451359216,-16.0369305847098,0.4766750558253692,0.0362006281216147,148,28.79118284019264,1.0,-13.266472230146158,14.49667242108603,0.0,0.0,0.0,-20.92429311605864,0.0080829648162565,-21.29951994546595,0.4430547575329234,0.0142999909638728,148,28.71569567757684,1.0,-18.31082736224062,9.663693919586464,0.0,0.0,0.0675675675675675,-18.81535589857346,0.0131360384245478,-18.933723919049548,0.4375156204063847,0.0192923352049723,148,31.54858524734909,1.0,-16.696810935423617,10.649724859966788,0.0,0.0067567567567567,0.0202702702702702,-17.957867721824663,0.0160034356475178,-18.341646315473334,0.3838571834529048,0.0,148,29.77138061781187,1.0,-15.532139999828622,12.209793977496048,0.0,0.0,0.0,-20.572661623108427,0.0087646350588624,-20.785102438300065,0.4274015368807675,0.016593763176379,148,29.76974853309425,1.0,-18.14665722706344,9.570084693099126,0.0,0.0,0.054054054054054,-5.057918700608948,2.108937217485181,0.8574881767487987,-1.757305724534966,-2.6147939012837647,0.3516314929502151,-17.557966161735493,-3.3663269543231493,-1.2573897368379685,-0.3999015600891695,-3.014695461372934,0.4270572544167638,5.057918700608948,2.2403251159404456,-0.0559219493535805,3.240590429544677,-0.0472297656443765,3.0882407848807123,0.0109354708922668,2.9995014430762943,-0.1106960453421646,3.180769582583297,-0.0097602091544954,3.095579175214944,-0.1253555373826054,3.2722915098658225,-0.0383043546659931,6,ok,Rice,0.4088,0.8280069476920328,0.4446034037967399,0.4088,0.0613,0.0324,0.2056,0.292,3.917952987416568,4.569883947235638,52.08,53.43,1.3500000000000014,1.0306,1.7417,1.7417,0.4088,0.8280069476920328,dw_only,ok,0.075
4,22,0.033637670655093,1,-18.65367663099805,0.0136342840269207,-18.65367663099805,,,1,35.25602340698242,1.0,-17.147183869897624,8.980248649398149,0.0,0.0,0.0,-17.306113263471147,0.0185946784913539,-17.306113263471147,,,1,28.78679656982422,1.0,-14.705420523580646,13.057724127651545,0.0,0.0,0.0,-17.301802016505068,0.0186131466180086,-17.301802016505068,,,1,28.711292266845703,1.0,-14.68755476262135,13.286966519205734,0.0,0.0,0.0,-19.981630437524288,0.010042387060821,-19.981630437524288,,,1,31.544313430786133,1.0,-17.8623465588209,9.484189236569506,0.0,0.0,0.0,-17.46437371697323,0.017929270863533,-17.46437371697323,,,1,29.775110244750977,1.0,-15.039319411648748,12.702614565675924,0.0,0.0,0.0,-20.935558307867804,0.0080620255321264,-20.935558307867804,,,1,29.76533889770508,1.0,-18.50877847728028,9.207963442882283,0.0,0.0,0.0,0.004311246966079,-2.67982842101922,2.5172567205510568,-0.9539278703435166,-3.4711845908945733,-3.6337562913627366,-17.979894947234598,0.6780929307295303,-2.00173549028969,0.515521230261367,-2.9556633606332063,0.2923473962401421,3.6337562913627366,2.516685707960278,-0.0273212373180566,,,,,,,,,,,,,6,ok,Maize,0.5289,0.5871983061602759,1.1414214444374249,0.0081,0.4049,0.5289,0.0202,0.038,,4.0,71.84,69.62,2.219999999999999,1.1513,2.6619,2.6619,0.5289,0.5871983061602759,,ok,0.0226
5,22,0.5675288112319056,0,-19.277285469184825,0.0118105861838116,-19.530945469866165,0.4148586450172487,0.0215798127415944,165,35.2569497310754,1.0,-17.770946810452962,8.356485708842811,0.0,0.0,0.1454545454545454,-15.758905114785778,0.0265527489002455,-16.082907941699705,0.4942674082684339,0.050623081860508,165,28.78780212402344,1.0,-13.15840643734662,14.60473821388557,0.0,0.0,0.0,-20.44475358404952,0.0090266092242955,-20.917509737783803,0.6094732119227708,0.1628122654699659,165,28.712301658861566,1.0,-17.830713494903513,10.14380778692357,0.0,0.006060606060606,0.0727272727272727,-17.789670233939386,0.0166353896048597,-18.23038156517101,0.4732568441454975,0.0471415665166903,165,31.5453049399636,1.0,-15.670578157683307,11.675957637707096,0.0,0.0,0.006060606060606,-17.64056426510221,0.0172164487257374,-17.99095461514872,0.4486635150505226,0.0450264399302593,165,29.77452737056848,1.0,-15.215362391059566,12.526571586265105,0.0,0.0,0.0,-19.901784748375395,0.0102287255284009,-20.52787904766124,0.5852963077811216,0.1540393285551828,165,29.76634346933076,1.0,-17.475265648689543,10.241476271473022,0.0,0.0,0.0606060606060606,-4.685848469263744,2.655083350110136,0.1491059688371763,-2.1121145144360085,-2.261220483273185,0.5429688356741273,-17.5180952919853,-2.926658292064221,-0.2715749419540856,-0.1224689731169093,-2.383689456390094,0.3874281307121616,4.685848469263744,2.478374596831925,-0.0685168836520044,3.301901426499384,0.0058372819268774,3.054916352256221,-0.0331078829162199,3.035797174446984,-0.082935358633958,3.2306581138545227,0.0319511395771558,3.210872041615217,-0.0179261690134349,3.455111755539648,0.1355133827987735,6,ok,Groundnut,0.3715,0.8642876430750976,0.7208905498421148,0.3208,0.1741,0.0447,0.0889,0.3715,4.0123545491715245,4.341646519913475,27.09,26.75,0.3399999999999998,0.8351,2.0995,1.9945,0.3715,0.8642876430750976,,ok,0.0746
6,22,0.8378502189360072,0,-18.76083141722188,0.0133019973897882,-19.05424492446116,0.4149546336827349,0.0216492360200477,259,35.252090041701855,1.0,-17.253750280523693,8.87368223877208,0.0,0.0,0.1042471042471042,-16.999321111014638,0.0199557423868493,-17.367990898345184,0.4883178833095946,0.045687091625636,259,28.782343271616345,1.0,-14.397760119007376,13.365384532224812,0.0,0.0,0.0154440154440154,-19.02674820796864,0.0125119551570374,-19.476844380422,0.5367944204391129,0.0921771033537968,259,28.706782094300024,1.0,-16.411753552600462,11.56276772922662,0.0,0.0,0.0077220077220077,-19.52968323907324,0.0111437580974333,-20.174633951332662,0.5187989318018454,0.0857945416174879,259,31.53997704053017,1.0,-17.40973552364879,9.936800271741614,0.0,0.0,0.0463320463320463,-18.45662015702672,0.0142671748686538,-18.88495917129744,0.4981145492176222,0.0857550647732834,259,29.77974466743617,1.0,-16.03230635067625,11.70962762664842,0.0,0.0,0.0115830115830115,-21.047320274265125,0.0078572029779165,-21.35822824844302,0.4772498800237807,0.0553565590804829,259,29.760801462593225,1.0,-18.61975781469885,9.096984105463712,0.0,0.0077220077220077,0.1158301158301158,-2.027427096954,-0.5029350311046024,1.0730630820465237,-1.5176370351918855,-2.590700117238409,-2.020572066296488,-17.880076264118255,-1.1466719438503823,-1.6496069749549849,-0.576543892908461,-3.16724401014687,0.2772504904437275,4.047999163250488,2.193100346065788,-0.0478031829765901,3.3281709797471146,-0.0020782456197525,3.181351853759825,0.0488796034844773,3.204923847994529,0.050799153001952,3.231184268018058,-0.0014309258253693,3.3307983077116115,0.06939262910661,3.387078614215711,0.0301496543782819,6,ok,Cotton,0.3714,0.9136874037004296,0.961183801482142,0.0904,0.3714,0.2749,0.1103,0.153,3.506820511549914,4.0,44.6,44.46,0.1400000000000005,0.9347,0.6824,0.1911,0.3714,0.9136874037004296,,ok,0.0186
7,22,0.1950720911999547,0,-18.8365869410948,0.0130719779281998,-19.414357735689947,0.4344447419748834,0.0360780613044917,46,35.25274102584176,1.0,-17.329575247216592,8.797857272079181,0.0,0.0,0.0869565217391304,-16.974204278044553,0.0200714880965002,-17.40824548141319,0.5125735006099349,0.0661855417102152,46,28.783102657483973,1.0,-14.372823771547417,13.390320879684772,0.0,0.0,0.0,-21.14480367895462,0.0076828018468602,-21.10287246294964,0.3550975775439384,0.0,46,28.70755324156388,1.0,-18.52988578098732,9.444635500839766,0.0,0.0,0.0652173913043478,-20.080065011201626,0.0098173324696962,-20.36615103537234,0.4604984613990019,0.0369494915066714,46,31.540707795516305,1.0,-17.960223403778667,9.38631239161174,0.0,0.0217391304347826,0.1304347826086956,-18.371172543572293,0.0145506617694121,-18.58511103356063,0.4422991336145819,0.0400936584235371,46,29.778717745905336,1.0,-15.94673568369554,11.79519829362913,0.0,0.0,0.0,-22.18450352815247,0.0060471347634397,-22.382140105366027,0.3919513841086132,0.0,46,29.761584655098293,1.0,-19.75705880634908,7.959683113813483,0.0,0.0217391304347826,0.1304347826086956,-4.170599400910067,1.0647386677529944,1.7088924676293331,-2.104438516950843,-3.813330984580176,-1.0396998491978486,-17.905395609569677,-3.239408069384943,-2.1746694016319488,-0.4657769340026156,-4.279107918582792,0.3943514514493756,5.210299250107916,1.856685206714168,-0.0659596966054574,3.273322327085931,0.0741010064921341,2.905471706967057,-0.0566358650649032,3.0038798059756253,-0.0145903662569635,3.156018423239709,0.0533699535076652,3.0015396485755,-0.13488495320839,3.028187133929332,-0.1856575184397639,6,ok,Bajra,0.4464,0.7742995284511476,0.5768958727083415,0.3195,0.0321,0.0319,0.4464,0.1701,7.453259524525055,4.0,43.64,42.47,1.1700000000000017,0.9645,1.8422,1.8422,0.4464,0.7742995284511476,,ok,0.0612
8,22,0.8917320682281362,0,-19.29417076173869,0.0117647559850973,-19.357961385389,0.4032473294467928,0.0133004715983069,283,35.24506378173828,1.0,-17.7859262293123,8.341506289983474,0.0,0.0035335689045936,0.1731448763250883,-17.13616470697624,0.019336752089188,-17.458699299595374,0.4445202422925864,0.0111902964990837,283,28.774473850802902,1.0,-14.533281358352603,13.229863292879584,0.0,0.0,0.0035335689045936,-20.63492951888373,0.00863986682104,-20.987633724791607,0.4977434577533662,0.0579235712667745,283,28.69882200126513,1.0,-18.018434656937675,9.956086624889409,0.0,0.0,0.0494699646643109,-19.90677052219257,0.0102169895170309,-20.364155438534304,0.4686031547488593,0.0433916841138271,283,31.532283371834367,1.0,-17.785443902518043,9.561091892872362,0.0,0.0106007067137809,0.0918727915194346,-18.08455791324753,0.0155433350491136,-18.42416618571679,0.4450395487440287,0.0422090070465761,283,29.78707155153524,1.0,-15.661612980748156,12.080320996576514,0.0,0.0,0.0035335689045936,-20.82042820669393,0.0082786053410063,-21.075954014972,0.4344412427558166,0.0218088994456011,283,29.752814033427423,1.0,-18.391446889909584,9.32529503025298,0.0035335689045936,0.0106007067137809,0.0600706713780918,-3.498764811907492,0.7281589966911604,1.8222126089450408,-0.9136576845013558,-2.7358702934463963,-0.1854986878101954,-18.215167734357465,-2.4197617845262656,-1.6916027878351052,0.1306098211099353,-2.605260472336461,0.3222750289520248,3.6842634997176873,1.9240470013713675,-0.0270388409024922,3.227711979334541,-0.1092561616627265,3.063675271455884,-0.0775330255531732,3.051824581122872,-0.109256275573466,3.1493864891798165,-0.0898932045316063,3.242426899566938,-0.0253876223452351,3.3723431542923112,0.0080770444670306,6,ok,Groundnut,0.2934,0.9073248235767838,0.600983363508006,0.2646,0.0686,0.0824,0.291,0.2934,3.0297372933028006,4.0,53.14,51.6,1.5399999999999991,1.0373,2.6077,2.4773,0.2934,0.9073248235767838,,ok,0.0775
9,22,0.4170669829003039,0,-19.56571418745313,0.0110516871194331,-20.05762879706507,0.4169081962550656,0.023065629211372,117,35.23719869108282,1.0,-18.05619571512157,8.071236804174198,0.0,0.0,0.188034188034188,-18.651395926654608,0.0136414459731397,-18.784922944269056,0.4134830231139478,0.0,117,28.76568138905061,1.0,-16.046934248163573,11.716210403068615,0.0,0.0,0.0085470085470085,-18.889574497303155,0.0129134578781568,-19.13027343580532,0.5139752729707735,0.0718472534093668,117,28.68994742173415,1.0,-16.271465630262615,11.703055651564467,0.0,0.0,0.0256410256410256,-18.49322269389844,0.0141474357607145,-19.138453446148954,0.5971432889547851,0.1605913957830049,117,31.5236993936392,1.0,-16.370518042844264,10.976017752546142,0.0,0.0,0.0427350427350427,-19.50259186374033,0.0112134903494236,-19.70080104344693,0.3837780011646944,0.0,117,29.795400521694084,1.0,-17.08108271616738,10.66085126115729,0.0,0.0,0.0,-21.11903002813065,0.0077285317815521,-21.43770074252313,0.42258563473813,0.0130751370440989,117,29.74390303782928,1.0,-18.68848278169163,9.028259138470936,0.0,0.017094017094017,0.094017094017094,-0.2381785706485466,0.3963518034047126,-1.0093691698418894,-2.6258073342322064,-1.616438164390317,-2.2294555308274937,-19.10855505705387,0.2189805597507153,0.6153323631554279,-0.3940368066864614,-2.0104749710767784,0.1820932181785119,2.6258073342322064,2.05135104590211,-0.0869484179333586,3.26957554478176,-0.0004244798689714,3.0046439734539168,-0.0494912560760956,3.212442385358518,0.1206943007831897,3.264045267812759,0.0911913230022536,3.1425786569761254,-0.0613582710130788,3.360899574693056,0.0697635860163834,6,ok,Cotton,0.5885,0.6996116041609899,0.8312486228994002,0.0197,0.5885,0.2239,0.0495,0.1185,6.019686649135312,2.358670245000433,48.01,45.57,2.4399999999999977,0.9601,0.701,0.1963,0.5885,0.6996116041609899,,ok,0.0088
10,22,0.3860355851925647,0,-18.711176933635755,0.0134549567668253,-19.18861361995131,0.4416151414321384,0.0415530336409506,92,35.21871052617612,1.0,-17.198705767900822,8.92872675139495,0.0,0.0,0.1304347826086956,-15.842665332012125,0.026045546041923,-16.403687385873265,0.5044650824936822,0.059222559165506,92,28.74506483907285,1.0,-13.234491258595032,14.528653392637157,0.0,0.0,0.0,-18.91885995315868,0.0128266724565511,-19.42158070521512,0.5454692463566535,0.1001372499696691,92,28.66913414001465,1.0,-16.297036596075095,11.677484685751988,0.0,0.0,0.0217391304347826,-18.40382731055424,0.0144416650797685,-18.66472149409218,0.4685085555901311,0.0433158416311063,92,31.503604826719865,1.0,-16.277678931556142,11.068856863834265,0.0,0.0,0.0108695652173913,-17.46496182048024,0.0179268431206962,-17.68436060056038,0.4272024407999198,0.0286746505589046,92,29.815824508666992,1.0,-15.04705431592476,12.69487966139991,0.0,0.0,0.0108695652173913,-19.89672392597795,0.010240651983464,-20.104050871035085,0.4421162253536437,0.0275917356671069,92,29.722986822542936,1.0,-17.462503001786295,10.25423891837627,0.0,0.0,0.0326086956521739,-3.076194621146552,0.5150326426044387,0.9388654900739972,-1.4928966154237102,-2.4317621054977074,-0.9778639728192716,-17.27692113282394,-1.6419388203347367,-1.126906177730298,-0.1880406876563007,-2.619802793154008,0.3228608127860141,4.054058593965824,2.6193460436365767,-0.0471965385343899,3.3259035258644545,0.0741290727899879,3.163581085593292,0.1331430497470966,3.178641219674037,0.1057622547605716,3.252501354102036,0.0977253739581187,3.209199772880136,0.0226473216192046,3.329149278398416,0.0579158691892303,6,ok,Cotton,0.5451,0.8016562548305667,0.904722893472617,0.104,0.5451,0.1643,0.0562,0.1303,5.3323807647607016,3.9994385176866927,45.55,46.32,0.7700000000000031,0.9417,0.6876,0.1925,0.5451,0.8016562548305667,,ok,0.0075
