time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,soil_moisture_0_to_7cm,soil_temperature_0_to_7cm,wind_speed_10m,surface_pressure,cloud_cover
2025-05-01T00:00,25.6,72,20.1,0.0,0.11,29.7,4.2,1001.9,0
2025-05-01T01:00,26.5,78,22.3,0.0,0.11,30.8,5.9,1002.5,0
2025-05-01T02:00,28.7,61,20.4,0.0,0.11,31.0,5.2,1003.2,0
2025-05-01T03:00,31.3,45,17.9,0.0,0.11,32.4,4.4,1003.9,0
2025-05-01T04:00,33.6,37,17.1,0.0,0.11,34.6,5.2,1004.3,0
2025-05-01T05:00,35.9,31,16.1,0.0,0.11,37.2,5.2,1004.0,0
2025-05-01T06:00,38.1,25,14.6,0.0,0.11,39.9,5.7,1003.4,0
2025-05-01T07:00,40.2,20,13.0,0.0,0.11,42.3,8.2,1002.7,0
2025-05-01T08:00,41.7,17,11.9,0.0,0.11,44.2,11.7,1001.5,0
2025-05-01T09:00,42.8,15,10.6,0.0,0.11,45.4,12.7,1000.3,18
2025-05-01T10:00,43.3,13,8.4,0.0,0.11,45.9,10.6,999.2,23
2025-05-01T11:00,43.2,12,8.0,0.0,0.11,45.7,9.2,998.6,11
2025-05-01T12:00,43.0,12,7.5,0.0,0.11,45.0,9.4,998.2,19
2025-05-01T13:00,40.5,15,8.6,0.0,0.093,43.2,7.7,998.6,3
2025-05-01T14:00,37.5,21,11.8,0.0,0.093,41.3,16.8,999.5,0
2025-05-01T15:00,33.3,38,17.1,0.0,0.093,39.4,12.0,1001.0,1
2025-05-01T16:00,32.2,40,16.8,0.0,0.093,37.7,10.1,1002.3,1
2025-05-01T17:00,31.4,42,16.9,0.0,0.093,36.3,12.8,1003.0,0
2025-05-01T18:00,30.6,48,18.5,0.0,0.093,35.1,12.0,1002.8,0
2025-05-01T19:00,29.8,55,19.7,0.0,0.093,34.1,10.9,1002.3,0
2025-05-01T20:00,29.4,57,19.9,0.0,0.093,33.2,9.7,1001.7,0
2025-05-01T21:00,29.2,48,17.2,0.0,0.093,32.5,8.6,1001.5,0
2025-05-01T22:00,28.7,39,13.5,0.0,0.093,31.8,8.0,1001.4,0
2025-05-01T23:00,28.0,36,11.7,0.0,0.093,31.1,9.6,1001.8,0
2025-05-02T00:00,27.1,41,12.6,0.0,0.093,30.5,7.7,1002.3,0
2025-05-02T01:00,27.0,46,14.3,0.0,0.11,30.9,5.5,1002.4,0
2025-05-02T02:00,28.7,43,15.1,0.0,0.11,31.1,4.0,1003.2,0
2025-05-02T03:00,31.0,41,16.3,0.0,0.11,32.5,4.5,1003.9,0
2025-05-02T04:00,33.8,35,16.1,0.0,0.11,34.7,4.8,1003.9,0
2025-05-02T05:00,36.6,27,14.9,0.0,0.11,37.3,7.2,1003.9,0
2025-05-02T06:00,39.1,21,12.8,0.0,0.11,40.0,8.0,1003.2,0
2025-05-02T07:00,41.1,17,10.8,0.0,0.109,42.5,8.9,1002.4,0
2025-05-02T08:00,42.5,14,9.1,0.0,0.109,44.5,10.3,1001.0,0
2025-05-02T09:00,43.4,12,7.4,0.0,0.109,45.8,13.6,1000.0,2
2025-05-02T10:00,43.4,10,5.4,0.0,0.109,46.2,16.3,998.8,0
2025-05-02T11:00,42.9,10,4.4,0.0,0.109,45.9,18.2,998.1,0
2025-05-02T12:00,42.2,9,3.2,0.0,0.109,44.9,16.9,997.8,0
2025-05-02T13:00,40.0,11,4.1,0.0,0.109,43.2,11.5,998.7,1
2025-05-02T14:00,37.3,15,5.9,0.0,0.109,41.2,16.5,999.2,0
2025-05-02T15:00,33.8,24,10.4,0.0,0.109,39.3,16.5,1000.1,0
2025-05-02T16:00,32.6,27,11.3,0.0,0.109,37.7,13.4,1000.9,0
2025-05-02T17:00,31.5,37,14.9,0.0,0.109,36.3,9.6,1001.6,0
2025-05-02T18:00,30.5,47,17.8,0.0,0.109,35.1,10.1,1002.0,0
2025-05-02T19:00,29.5,54,19.3,0.0,0.109,34.1,8.3,1001.1,0
2025-05-02T20:00,28.7,59,19.9,0.0,0.109,33.1,8.1,1000.8,0
2025-05-02T21:00,28.0,62,20.1,0.0,0.109,32.3,6.7,1000.5,0
2025-05-02T22:00,27.7,57,18.5,0.0,0.109,31.6,7.0,1000.5,0
2025-05-02T23:00,27.4,44,14.0,0.0,0.109,31.0,7.4,1000.8,0
2025-05-03T00:00,26.8,37,10.8,0.0,0.109,30.4,6.4,1001.1,0
2025-05-03T01:00,27.3,47,15.0,0.0,0.109,31.3,5.9,1002.0,0
2025-05-03T02:00,29.1,43,15.2,0.0,0.109,31.5,6.1,1002.9,0
2025-05-03T03:00,31.0,46,18.2,0.0,0.109,32.8,6.6,1003.5,0
2025-05-03T04:00,33.1,41,18.1,0.0,0.109,34.8,6.9,1003.6,0
2025-05-03T05:00,35.5,32,16.5,0.0,0.109,37.2,8.0,1003.4,0
2025-05-03T06:00,37.7,25,14.1,0.0,0.109,39.7,9.0,1002.8,0
2025-05-03T07:00,39.6,17,10.2,0.0,0.109,41.9,11.6,1001.6,0
2025-05-03T08:00,40.7,13,7.2,0.0,0.109,43.6,15.5,1000.1,0
2025-05-03T09:00,41.1,11,4.4,0.0,0.109,44.6,19.5,998.8,9
2025-05-03T10:00,40.5,13,6.3,0.0,0.109,44.7,20.5,997.8,11
2025-05-03T11:00,40.1,17,10.2,0.0,0.109,44.4,16.5,997.1,59
2025-05-03T12:00,40.2,15,8.4,0.0,0.109,43.4,16.5,996.7,29
2025-05-03T13:00,37.4,21,11.2,0.0,0.109,41.9,20.4,997.4,21
2025-05-03T14:00,32.5,40,17.3,0.0,0.109,39.6,22.1,998.2,14
2025-05-03T15:00,31.1,50,19.3,0.0,0.109,37.7,18.0,999.8,3
2025-05-03T16:00,30.3,56,20.6,0.0,0.109,36.1,16.3,1001.0,97
2025-05-03T17:00,29.8,66,22.6,0.0,0.109,35.0,10.7,1001.7,100
2025-05-03T18:00,29.7,68,23.2,0.0,0.109,34.2,8.7,1001.3,100
2025-05-03T19:00,29.5,68,23.0,0.0,0.109,33.4,10.5,1000.3,100
2025-05-03T20:00,29.0,70,23.0,0.0,0.109,32.8,13.7,999.6,100
2025-05-03T21:00,28.2,76,23.6,0.0,0.109,32.2,15.5,999.2,100
2025-05-03T22:00,27.8,79,23.7,0.0,0.109,31.6,9.4,999.9,97
2025-05-03T23:00,27.6,79,23.7,0.0,0.109,31.2,11.4,999.9,51
2025-05-04T00:00,27.6,77,23.2,0.0,0.109,30.8,12.7,1000.6,59
2025-05-04T01:00,27.6,83,24.5,0.0,0.121,31.9,12.4,1001.4,6
2025-05-04T02:00,29.0,71,23.1,0.0,0.121,31.9,13.7,1002.4,27
2025-05-04T03:00,30.6,61,22.2,0.0,0.12,32.8,12.3,1003.5,27
2025-05-04T04:00,32.4,53,21.7,0.0,0.12,34.4,12.6,1003.6,84
2025-05-04T05:00,33.7,48,21.2,0.0,0.12,36.2,12.6,1002.8,36
2025-05-04T06:00,35.2,41,19.9,0.0,0.119,38.2,13.5,1002.1,4
2025-05-04T07:00,36.5,35,18.6,0.0,0.119,40.0,14.6,1000.8,1
2025-05-04T08:00,37.4,33,18.2,0.0,0.118,41.5,15.7,999.5,0
2025-05-04T09:00,35.6,35,17.6,0.2,0.119,42.1,18.8,999.6,96
2025-05-04T10:00,34.7,39,18.6,0.0,0.119,40.8,12.2,998.7,95
2025-05-04T11:00,34.8,41,19.5,0.0,0.119,40.0,14.5,998.8,66
2025-05-04T12:00,34.3,40,18.9,0.4,0.122,38.9,7.6,998.7,71
2025-05-04T13:00,28.5,68,21.9,0.1,0.17,36.0,9.2,999.0,100
2025-05-04T14:00,27.9,76,23.3,0.5,0.174,33.7,6.5,999.6,93
2025-05-04T15:00,28.0,76,23.3,0.0,0.174,32.6,1.5,1000.3,64
