crop,date,doy,n,area_ha,mean_db,wsd_db,p25,p75
Rice,20250606,157,86,47.44,-19.195,0.623,-19.572,-18.975
Rice,20250619,170,86,47.44,-13.839,6.258,-16.264,-14.434
Rice,20250814,226,86,47.44,-20.246,0.535,-20.603,-19.946
Rice,20251013,286,86,47.44,-19.273,1.002,-19.764,-18.665
Rice,20251029,302,69,43.25,-18.202,1.093,-18.814,-17.47
Rice,20251112,316,86,47.44,-21.178,0.77,-21.83,-20.895
Cotton,20250606,157,426,189.01,-18.039,1.515,-19.262,-18.017
Cotton,20250619,170,405,186.33,-16.552,2.512,-18.49,-16.278
Cotton,20250814,226,405,186.33,-17.567,2.197,-19.564,-17.765
Cotton,20251013,286,407,186.59,-17.498,1.982,-19.018,-17.614
Cotton,20251029,302,375,181.49,-17.012,1.533,-18.116,-16.1
Cotton,20251112,316,426,189.01,-20.495,1.624,-21.717,-20.675
Maize,20250606,157,55,26.71,-19.161,1.147,-20.064,-19.12
Maize,20250619,170,53,26.44,-17.409,1.316,-18.726,-16.881
Maize,20250814,226,53,26.44,-18.554,1.0,-19.421,-18.179
Maize,20251013,286,55,26.71,-20.287,0.552,-20.632,-19.982
Maize,20251029,302,49,25.96,-18.237,1.205,-18.906,-16.962
Maize,20251112,316,55,26.71,-21.569,0.505,-21.872,-21.109
Bajra,20250606,157,149,42.28,-19.269,0.591,-19.683,-18.837
Bajra,20250619,170,149,42.28,-18.269,0.907,-19.309,-17.85
Bajra,20250814,226,149,42.28,-20.608,0.465,-21.05,-20.277
Bajra,20251013,286,149,42.28,-20.1,0.565,-20.403,-19.575
Bajra,20251029,302,135,39.31,-17.496,1.313,-17.737,-16.377
Bajra,20251112,316,149,42.28,-21.647,0.661,-21.991,-21.484
Groundnut,20250606,157,221,137.68,-19.505,0.623,-19.868,-19.055
Groundnut,20250619,170,220,137.43,-17.868,1.063,-19.042,-17.349
Groundnut,20250814,226,221,137.68,-20.388,0.467,-20.78,-20.047
Groundnut,20251013,286,221,137.68,-18.793,0.9,-19.4,-18.384
Groundnut,20251029,302,204,135.11,-17.593,1.184,-18.368,-16.766
Groundnut,20251112,316,221,137.68,-21.101,1.03,-21.801,-20.975
