farm_id,crop_type,area_ha,npix_full,npix_core,ring_frac,no_interior,buffer_level,health_index,health_core_only,health_matched_random,level_ring_minus_core_db,cv_full,cv_core,on_attention_list,stays_core_only
1,Rice,0.2842602108358393,66,35,0.4696969696969697,False,0,39.63,44.6,48.18,0.295,0.4537487116829755,0.39429952971118787,False,False
2,Rice,0.2215418251883499,55,27,0.509090909090909,False,0,45.61,37.1,46.95,0.298,0.5061886110627373,0.511151592314848,False,False
3,Rice,0.5008628882666493,148,103,0.30405405405405406,False,0,52.08,44.35,48.21,0.22,0.4430547575329234,0.4423684652879541,False,False
4,Maize,0.033637670655093,1,0,1.0,True,1,71.84,72.47,69.78,0.0,,,False,False
5,Groundnut,0.5675288112319056,165,111,0.32727272727272727,False,0,27.09,29.76,25.72,0.49,0.6094732119227708,0.5606330118679883,False,False
6,Cotton,0.8378502189360072,259,191,0.2625482625482626,False,0,44.6,43.05,42.45,0.068,0.5367944204391129,0.5269028458887737,False,False
7,Bajra,0.1950720911999547,46,22,0.5217391304347826,False,0,43.64,41.97,52.65,0.345,0.3550975775439384,0.33419733390016915,False,False
8,Groundnut,0.8917320682281362,283,221,0.21908127208480566,False,0,53.14,53.93,49.95,-0.153,0.4977434577533662,0.47182526535807506,False,False
9,Cotton,0.4170669829003039,117,78,0.33333333333333337,False,0,48.01,40.44,49.38,-0.425,0.5139752729707735,0.5636514809173225,False,False
10,Cotton,0.3860355851925647,92,48,0.4782608695652174,False,0,45.55,40.51,40.3,0.233,0.5454692463566535,0.5523655858766837,False,False
11,Cotton,0.4430542916703957,130,89,0.3153846153846154,False,0,32.56,34.85,32.67,0.144,0.5350897237193019,0.5020593808133429,False,False
12,Cotton,0.5516646220761335,127,68,0.4645669291338582,False,0,48.29,43.75,51.55,-0.006,0.5344658939598727,0.547482167748294,False,False
13,Rice,0.4815186925147954,125,69,0.44799999999999995,False,0,68.55,76.12,73.3,-0.381,0.4469712758605669,0.3935331921992678,False,False
