farm_id,crop_type,yield_forecast_t_ha,ens_sd_t_ha,health_sd_pts,label_confidence,label_entropy,flag_qc,flag_non_crop
1,Rice,1.5781,0.0403,5.893787828934645,0.5744,0.6993765960190401,ok,
2,Rice,1.6567,0.0418,6.6721960506428495,0.4627,0.8458246113227442,ok,
3,Rice,1.7417,0.075,3.917952987416568,0.4088,0.8280069476920328,ok,dw_only
4,Maize,2.6619,0.0226,,0.5289,0.5871983061602759,ok,
5,Groundnut,2.0995,0.0746,4.0123545491715245,0.3715,0.8642876430750976,ok,
6,Cotton,0.6824,0.0186,3.506820511549914,0.3714,0.9136874037004296,ok,
7,Bajra,1.8422,0.0612,7.453259524525055,0.4464,0.7742995284511476,ok,
8,Groundnut,2.6077,0.0775,3.0297372933028006,0.2934,0.9073248235767838,ok,
9,Cotton,0.701,0.0088,6.019686649135312,0.5885,0.6996116041609899,ok,
10,Cotton,0.6876,0.0075,5.3323807647607016,0.5451,0.8016562548305667,ok,
11,Cotton,0.6167,0.0138,4.999238061887732,0.2345,0.9974058442601484,ok,
12,Cotton,0.7025,0.0203,4.144004745323248,0.4449,0.9000652967915156,ok,
13,Rice,1.958,0.0349,4.778824598850681,0.3071,0.9275319129073092,ok,
14,Cotton,0.7332,0.0602,7.4038093599204755,0.902,0.2148354340897429,ok,
15,Cotton,0.6253,0.0074,,0.4014,0.9019988260303632,ok,dw_only
16,Groundnut,2.1752,0.0522,,0.7545,0.5448529066731764,ok,dw_only
17,Cotton,0.7879,0.029,,0.4654,0.8302224565352463,ok,dw_only
18,Cotton,0.5303,0.0051,,0.4269,0.8607352462339093,ok,both
19,Bajra,2.0291,0.0956,,0.3646,0.8933520076268062,ok,dw_only
20,Rice,1.8937,0.0629,5.032326317478118,0.3863,0.8704458435937931,ok,
21,Rice,2.0266,0.0336,3.754655129556664,0.57,0.7895630854949236,ok,
22,Cotton,0.516,0.0095,5.657390290169691,0.6053,0.7041503956503555,ok,
23,Bajra,1.2555,0.024,,0.72,0.4725121154819544,ok,
24,Rice,1.582,0.0741,7.46813350318387,0.6259,0.7293128319551344,ok,
25,Cotton,0.7482,0.018,9.687408411421252,0.4615,0.8433952051686746,ok,
26,Rice,2.1037,0.012,4.249841098799292,0.3407,0.9607539043968264,ok,
27,Rice,1.9426,0.0407,3.754926663116029,0.2435,0.9957068146523622,ok,
28,Cotton,0.7039,0.0184,5.286305644742575,0.274,0.9692211802922562,ok,
29,Rice,1.9007,0.0508,3.640889827704753,0.3277,0.9651497333897644,ok,
30,Cotton,0.8862,0.0217,6.364799222650349,0.9691,0.0966559441004828,ok,
