farm_id,vv_20250519,npix_20250519,vh_20250519,vv_20250531,npix_20250531,vh_20250531,vv_20250612,npix_20250612,vh_20250612,vv_20250624,npix_20250624,vh_20250624,vv_20250706,npix_20250706,vh_20250706,vv_20250718,npix_20250718,vh_20250718,vv_20250730,npix_20250730,vh_20250730,vv_20250823,npix_20250823,vh_20250823,vv_20250904,npix_20250904,vh_20250904,vv_20250916,npix_20250916,vh_20250916,vv_20250928,npix_20250928,vh_20250928,vv_20251010,npix_20251010,vh_20251010,vv_20251022,npix_20251022,vh_20251022,vv_20251103,npix_20251103,vh_20251103,vv_20251115,npix_20251115,vh_20251115,vv_20251127,npix_20251127,vh_20251127
1,-10.986189582798973,28,-17.11706337126785,-9.103205025463344,28,-16.08213837998854,-10.183139985559407,28,-17.94988757816049,-5.566109897990533,28,-16.144247406354083,-6.723706961298457,28,-13.032236842206004,-7.749816521158353,28,-14.266495956385256,-3.84169643395383,28,-13.470382898622157,-8.06254402890019,28,-16.13225606788058,-9.830462512187832,28,-14.584874221814419,-9.539942669669879,28,-17.06889948598967,-6.788085135827298,28,-19.211530646938538,-6.188501819867137,28,-18.4996582452899,-9.118801856522913,28,-18.11696148803939,-5.418600801425402,28,-13.590757790192207,-9.401842773307411,28,-15.8622060517387,-5.5027370845456405,28,-14.89789712007574
2,-11.114724473104111,21,-16.49466005702558,-9.659430395620065,21,-15.704316981334204,-9.312971003959138,21,-15.394275818344331,-7.924089390636629,21,-17.312429167541616,-8.116191462412694,21,-15.940075756254057,-10.059860033207231,21,-15.656218135102897,-6.768152804713568,21,-14.8244378376459,-8.111258641124934,21,-14.654314074411257,-9.618224683567135,21,-15.358696049617674,-9.293062633310868,21,-15.548483946936525,-9.250774901029,21,-17.68663975952818,-7.04426197573865,21,-15.368266471232165,-9.40835430049878,21,-18.162397140650206,-4.772711719049911,21,-13.984931148318942,-7.583223309080028,21,-14.964415042589572,-7.1466141925274895,21,-14.271999545454827
3,-7.738366018789024,50,-14.787374889473334,-7.0610475667185835,50,-15.82480217759908,-7.69087597745065,50,-17.857605932772966,-8.424211122020385,50,-17.019792162215047,-9.552242159960937,50,-17.241087245635786,-8.005292393749157,50,-15.548896633682638,-4.357975583223192,50,-11.817744404056471,-8.035633796445826,50,-17.089914679812424,-8.827997132359153,50,-16.02463828315237,-10.022837574118332,50,-16.526390197700735,-8.892571846841031,50,-16.949635873223468,-6.167924053618721,50,-15.777370999955789,-6.659442548786951,50,-16.074469096754633,-5.2082634157375765,50,-12.430993166009483,-5.430542257737651,50,-13.268646105588806,-4.027975731480274,50,-12.483667758182207
4,-11.359022396381622,4,-18.77374883383763,-10.196055955793177,4,-15.273223021100598,-8.900104374671994,4,-18.68526117654297,-8.442577407011813,4,-14.61727749254556,-8.255419704841788,4,-15.351769810858148,-7.694241752164038,4,-13.89921554466174,-7.856993548448389,4,-15.382402740437897,-8.60959334257439,4,-17.154382195561624,-9.864028786644157,4,-16.545570342237955,-10.381309018120614,4,-16.97282115402136,-10.268926605508483,4,-17.430968527780912,-11.01161686527286,4,-15.134542485502589,-10.716660371084982,4,-15.767030185691471,-7.08866799218395,4,-14.804001186969451,-7.594333212892343,4,-15.655146090357126,-8.454735763759523,4,-13.217862067378158
5,-7.8271960751799705,55,-13.982955986661882,-7.783256133757687,55,-14.074366177434655,-7.852801871847998,55,-13.587734242513301,-8.389664018854626,55,-13.786710065650624,-5.9988427736193275,55,-14.182230093837251,-9.259665274949578,55,-11.91892283640482,-5.378105838620573,55,-12.493493308697058,-6.7585683542603,55,-13.201185142348432,-7.845066043823831,55,-12.275811281265891,-8.01367836385258,55,-13.396921128704815,-8.699444332470701,55,-12.485156937551574,-6.814825710545235,55,-13.729317865131328,-6.639153570221268,55,-13.673903025217234,-6.412852091625102,55,-12.030284034457683,-5.651018261718896,55,-13.559304158063515,-5.944150193911934,55,-13.44606715719176
6,-8.70133298337923,87,-15.926311338135392,-8.751594799609553,87,-16.01599513685237,-8.372582309296869,87,-16.82236125326935,-6.915330122698299,87,-14.277766713364091,-8.16873069383744,87,-13.849104641152612,-7.925009568093911,87,-11.951871458560252,-4.783750534142993,87,-12.329348709023076,-4.529330514729168,87,-14.387105382480945,-6.952844439584279,87,-13.851813362627613,-9.245475703043669,87,-15.366265219415743,-9.764955864284147,87,-16.374788184754298,-8.117451945956255,87,-15.617879279695824,-6.746704667686849,87,-15.005839485197306,-6.529315385799173,87,-15.268502201748904,-8.113608883937546,87,-14.91095448348945,-7.455208605585289,87,-14.172449717130304
7,-9.102475273823266,17,-16.290412887108584,-9.455494413056702,17,-14.386658432657152,-8.290727887717965,17,-17.913240027246914,-6.75332680750349,17,-14.839813226764207,-7.7476843997181,17,-14.51384599575997,-7.071740759384738,17,-12.324545550273989,-5.860944059625499,17,-12.525428782626228,-5.299210488422311,17,-15.836414455856895,-8.219149195873703,17,-18.23956107743357,-9.871125377050339,17,-16.310428704693287,-11.086870139405974,17,-17.371453815952417,-9.03914643679553,17,-16.36283148379179,-8.299368430696674,17,-18.141563651945383,-6.633541893042283,17,-13.515192768910513,-9.150816340898192,17,-15.116959587061068,-6.887352887205616,17,-16.386269283852993
8,-9.797178781286211,91,-14.823910666122488,-9.119723651845005,91,-13.606399848977729,-9.291926912483863,91,-15.667860703459375,-6.847296349465224,91,-13.436060512291956,-7.314178067835723,91,-12.801526298814698,-7.452315667266087,91,-13.50336139127371,-5.406372550624317,91,-13.019172310353115,-3.7109991203607477,91,-15.754877591468656,-6.172199932298465,91,-14.971084235068147,-8.357135665277301,91,-15.454902202550652,-8.014787854870441,91,-16.043984754293213,-8.061683050874862,91,-14.771331514673891,-8.228669122521403,91,-15.208290001658273,-5.183442152418586,91,-13.39807165074128,-5.6447474583435895,91,-13.625338569204885,-6.096223004837574,91,-12.614840151875033
9,-10.953721559681842,43,-16.396677015770443,-9.675115554301165,43,-15.644536402995904,-10.736232399762635,43,-15.60988881816666,-8.488322756967595,43,-13.009466981669002,-9.074466406225316,43,-13.225200657548646,-8.061966441450208,43,-12.61059079667312,-7.849436777117931,43,-12.656120857359024,-6.550814941366888,43,-12.4567721075082,-7.273916513533976,43,-11.613695576157317,-6.710997586822955,43,-13.665051483808972,-8.03510854583144,43,-12.219447687532085,-8.143221333872283,43,-12.568905823728533,-7.5229481521366015,43,-13.888727053823622,-8.081480576744752,43,-13.413463047122372,-7.822191026922618,43,-13.298265304691162,-8.15960673292394,43,-14.677997020631823
10,-11.52450513936364,36,-17.3641638071158,-10.53088328139429,36,-15.880486518344805,-11.045287105511106,36,-16.92102911533563,-7.0410458096564765,36,-12.236265500415513,-7.166544425909951,36,-11.582788224686148,-7.73205993970815,36,-11.877462814550313,-5.620381639167098,36,-14.616701735254997,-5.896695347288631,36,-14.68923663053802,-5.738877755823801,36,-13.004395174966008,-8.699773834103755,36,-15.703119770483402,-10.42348543730273,36,-17.001543803603358,-7.4164456047923615,36,-16.67220300244204,-8.599834439652302,36,-15.09222264221441,-4.875745628850378,36,-13.202170171379098,-7.214333663108878,36,-14.993758921950029,-7.264217698863175,36,-14.029563023924927
