village_id,farm_id,crop_type,health_index,hi_resid,landscape,farm_specific,actionable_rank
1,1,Rice,39.63,-0.301429205289736,-0.1879,-0.209,0.3837
1,2,Rice,45.61,-0.0032583807149995044,-0.208,0.1147,0.4767
1,3,Rice,52.08,0.3193445013917807,-0.2047,0.42,0.6279
1,4,Maize,71.84,1.328078631290479,-0.3699,1.5768,1.0
1,5,Groundnut,27.09,-1.2000400190521843,-0.0192,-1.29,0.0814
1,6,Cotton,44.6,-0.23573994470488532,-0.1858,-0.1769,0.4352
1,7,Bajra,43.64,-0.39539735799110354,-0.1129,-0.4086,0.3423
1,8,Groundnut,53.14,0.19014482238124086,-0.2686,0.3104,0.6063
1,9,Cotton,48.01,-0.059803865815607406,-0.2719,0.0282,0.5165
1,10,Cotton,45.55,-0.1867254945744415,-0.534,0.1676,0.611
1,11,Cotton,32.56,-0.8569336074107234,-0.2793,-0.7833,0.2352
1,12,Cotton,48.29,-0.045357501566634366,-0.5123,0.2937,0.6769
1,13,Rice,68.55,1.1405608025198597,0.2929,0.8505,0.814
1,14,Cotton,53.92,0.24511760815378678,0.4006,-0.0864,0.4725
1,15,Cotton,34.13,-0.7759307793004107,0.1316,-0.8851,0.2
1,16,Groundnut,30.97,-0.9929798584087413,-0.0661,-0.932,0.181
1,17,Cotton,63.94,0.7620910716348911,-1.0939,1.8907,0.9692
1,18,Cotton,16.72,-1.6741850706383379,0.4245,-2.0745,0.011
1,19,Bajra,56.23,0.30995064960612223,-0.4253,0.7302,0.7383
1,20,Rice,63.65,0.8962402271994234,-0.0369,0.7366,0.7674
1,21,Rice,73.76,1.4003383938299567,-0.1887,1.3823,0.9651
1,22,Cotton,14.09,-1.8098777062626197,-0.098,-1.9319,0.0176
1,23,Bajra,4.1,-2.610604682883424,-0.2331,-2.7111,0.0067
1,24,Rice,39.93,-0.2864708027190972,-0.2679,-0.2409,0.3488
1,25,Cotton,56.66,0.38648560116159353,0.3435,-0.2191,0.4154
1,26,Rice,79.63,1.6930244707954587,0.0681,1.3731,0.9535
1,27,Rice,67.37,1.0817244190753468,0.3116,0.4932,0.7093
1,28,Cotton,48.54,-0.03245896205862278,0.4153,-0.7147,0.2484
1,29,Rice,64.18,0.9226667384075526,0.2843,0.3663,0.5814
1,30,Cotton,81.96,1.6918177993723662,0.4389,1.0312,0.8505
1,31,Maize,69.01,1.1454339366383237,0.432,0.3986,0.7091
1,32,Rice,47.1,0.07103501871917411,0.3329,-0.5525,0.2674
1,33,Cotton,49.36,0.009848247527655252,0.5686,-0.8088,0.2264
1,34,Rice,81.78,1.8002263558850382,0.3952,1.1468,0.9186
1,35,Rice,66.23,1.0248824893069188,-0.0826,0.8813,0.8488
1,36,Maize,33.74,-1.1308481765706955,0.0923,-1.4727,0.0545
1,37,Rice,68.91,1.1585108856046265,-0.3335,1.2608,0.9302
1,38,Rice,61.14,0.7710882590250775,-0.3781,0.9101,0.8605
1,39,Cotton,23.15,-1.34243463449228,-0.2888,-1.2842,0.1099
1,40,Cotton,50.1,0.04802792447136966,0.2065,-0.4181,0.3736
1,41,Cotton,81.32,1.6587975382318565,0.2804,1.1864,0.8681
1,42,Cotton,90.4,2.127272493162838,0.2786,1.5961,0.9363
1,43,Cotton,40.25,-0.46017453214428705,0.3788,-1.0894,0.156
1,44,Cotton,50.42,0.0645380550416245,0.2519,-0.4485,0.3495
1,45,Cotton,53.14,0.20487416488879054,0.3312,-0.3832,0.3868
1,46,Cotton,53.16,0.20590604804943127,0.0637,-0.1921,0.4264
1,47,Cotton,62.64,0.6950186661932309,0.3653,0.0742,0.5341
1,48,Cotton,33.73,-0.7965684425132294,0.5539,-1.62,0.0571
1,49,Rice,68.41,1.1335802146535616,0.5159,0.3558,0.5698
1,50,Cotton,78.33,1.5045310057160382,0.3231,0.9091,0.8308
1,51,Cotton,67.03,0.9215170199539146,0.4572,0.2193,0.6385
1,52,Cotton,36.57,-0.6500410337022177,0.3377,-1.3079,0.1011
1,53,Cotton,61.45,0.6336216181350959,0.5344,-0.1983,0.422
1,54,Maize,68.47,1.110583005503283,0.7702,0.0416,0.5636
1,55,Maize,87.35,2.3290748200024685,0.6711,1.2922,0.9636
1,56,Rice,57.85,0.6070444441670703,0.7358,-0.4196,0.3023
1,57,Maize,48.49,-0.1789014464932066,0.244,-0.7119,0.2909
1,58,Cotton,69.04,1.025221277598328,0.307,0.6508,0.7758
1,59,Cotton,50.36,0.06144240555970161,0.3652,-0.4162,0.3758
1,60,Groundnut,55.98,0.34170432140891543,-0.3962,0.5218,0.7104
1,61,Cotton,26.93,-1.1474087171311447,-0.203,-1.1391,0.1385
1,62,Cotton,32.72,-0.8486785421255962,0.0682,-1.1655,0.1341
1,63,Rice,66.0,1.0134143806694287,-0.2297,1.0406,0.8953
1,64,Cotton,31.75,-0.8987248754166811,0.0118,-1.1215,0.1429
1,65,Rice,65.67,0.996960137841726,-0.0323,0.8502,0.8023
1,66,Rice,62.46,0.836905230335889,-0.0045,0.6471,0.7326
1,67,Cotton,77.35,1.4539687308446325,-0.0458,1.3629,0.8901
1,68,Cotton,33.79,-0.7934727930313066,0.1041,-1.0889,0.1582
1,69,Cotton,83.58,1.7754003353842815,-0.1459,1.7723,0.956
1,70,Cotton,46.93,-0.11552555649021738,-0.0174,-0.2524,0.4088
1,71,Groundnut,77.94,1.513622137834175,-0.1361,1.4839,0.9367
1,72,Maize,50.77,-0.03175307058970318,-0.1333,-0.0569,0.5455
1,73,Maize,23.49,-1.7923704805228489,-0.0381,-1.9018,0.0364
1,74,Cotton,76.68,1.4194006449631622,-0.3054,1.694,0.9495
1,75,Cotton,24.69,-1.2629796311229284,-0.0562,-1.2938,0.1077
1,76,Cotton,24.92,-1.2511129747755576,-0.043,-1.2977,0.1055
1,77,Cotton,18.8,-1.5668692219316815,-0.0287,-1.6491,0.0484
1,78,Rice,57.95,0.6120305783572834,-0.1815,0.6991,0.7442
1,79,Rice,51.8,0.3053833256591843,-0.2592,0.4808,0.6977
1,80,Rice,48.29,0.13037001558270855,-0.1001,0.1428,0.5
1,81,Maize,67.66,1.0583066088007225,-0.1036,1.0636,0.8727
1,82,Maize,36.76,-0.9359411172599149,-0.0328,-1.0251,0.1818
1,83,Cotton,18.66,-1.574092404056168,0.0517,-1.733,0.0396
1,84,Cotton,59.27,0.5211463536252349,0.3592,-0.1115,0.4615
1,85,Cotton,84.85,1.8409249160849803,0.3635,1.2829,0.8835
1,86,Cotton,85.62,1.8806524177696564,0.2653,1.4198,0.9077
1,87,Cotton,51.26,0.10787714778854327,0.6151,-0.7792,0.2374
1,88,Rice,55.66,0.4978481054014056,0.2127,0.0605,0.4419
1,89,Rice,49.21,0.17624245013266812,0.1755,-0.2254,0.3605
1,90,Cotton,45.55,-0.1867254945744415,0.1814,-0.633,0.2725
1,91,Cotton,44.51,-0.24038341892776965,0.0537,-0.5216,0.3176
1,92,Cotton,41.78,-0.38123547035525607,0.1064,-0.7181,0.2462
1,93,Cotton,44.29,-0.2517341336948198,0.5279,-1.1109,0.1451
1,94,Cotton,46.97,-0.11346179016893558,0.5282,-0.9442,0.189
1,95,Cotton,71.32,1.142855957911393,0.2393,0.6134,0.7604
1,96,Cotton,63.2,0.723911394691177,0.3866,-0.0163,0.5033
1,97,Cotton,37.92,-0.580388920358955,0.5218,-1.4225,0.0791
1,98,Cotton,71.95,1.1753602774715828,0.3221,0.5411,0.7495
1,99,Cotton,68.28,0.9860097174939725,0.3933,0.3293,0.6879
1,100,Maize,59.05,0.5026278734809139,0.4143,-0.2134,0.4727
1,101,Cotton,53.56,0.22654371126225012,0.4136,-0.5023,0.3253
1,102,Cotton,50.46,0.06660182136290632,0.5795,-0.8141,0.2242
1,103,Cotton,97.67,2.502362022055815,0.3899,1.78,0.9582
1,104,Groundnut,67.24,0.942605715441175,0.5663,0.0653,0.5068
1,105,Cotton,92.78,2.250066589279108,0.5767,1.4612,0.9143
1,106,Cotton,87.04,1.9539161221751624,0.4926,1.2468,0.8813
1,107,Cotton,26.76,-1.1561797239965923,0.0994,-1.4885,0.0725
1,108,Cotton,85.58,1.8785886514483743,-0.2428,1.9782,0.9868
1,109,Cotton,18.68,-1.573060520895527,0.1375,-1.9003,0.022
1,110,Cotton,81.36,1.6608613045531389,-0.2263,1.7381,0.9538
1,111,Groundnut,49.19,-0.020650959717109722,-0.0596,-0.1989,0.4027
1,112,Maize,61.59,0.6665563273383259,0.2284,0.199,0.6364
1,113,Rice,45.04,-0.03167934559921355,-0.0377,-0.1994,0.3953
1,114,Groundnut,14.56,-1.8687162594806224,0.2441,-2.2403,0.0136
1,115,Cotton,42.21,-0.3590499824014761,0.0459,-0.5566,0.2945
1,116,Groundnut,50.43,0.045522906055537105,0.0779,-0.1574,0.4163
1,117,Cotton,74.18,1.2904152498830463,0.0805,1.1507,0.8659
1,118,Rice,57.62,0.5955763355295802,0.0738,0.4209,0.6512
1,119,Cotton,78.38,1.5071107136176405,0.2658,1.2027,0.8725
1,120,Cotton,75.67,1.367290545350795,0.216,1.0494,0.8549
