series,lag_m,gamma,npair
hi_resid,25.0,0.9229658542340573,456.0
hi_resid,75.0,0.9039690422841627,1535.0
hi_resid,125.0,0.8969671826529392,2194.0
hi_resid,175.0,0.9064448609399214,2775.0
hi_resid,250.0,0.9565021729143091,7243.0
hi_resid,350.0,0.9889633370520805,9434.0
hi_resid,450.0,0.9734839971698116,11127.0
hi_resid,600.0,0.9706733135134894,26680.0
hi_resid,800.0,0.9720555005661178,30977.0
hi_resid,1050.0,0.9768831834513078,53302.0
hi_resid,1400.0,1.0053053626543793,78623.0
incidence,25.0,0.02658313328649298,456.0
incidence,75.0,0.032981100919286584,1535.0
incidence,125.0,0.057666475649038755,2194.0
incidence,175.0,0.07233179128783375,2775.0
incidence,250.0,0.09725408307394039,7243.0
incidence,350.0,0.12372232433225262,9434.0
incidence,450.0,0.13057135516669124,11127.0
incidence,600.0,0.16018904592244537,26680.0
incidence,800.0,0.22174733891467083,30977.0
incidence,1050.0,0.32176857256483454,53302.0
incidence,1400.0,0.5289972363287546,78623.0
jun_baseline,25.0,0.637771098288095,456.0
jun_baseline,75.0,1.0680543004607184,1535.0
jun_baseline,125.0,1.264284677638575,2194.0
jun_baseline,175.0,1.2300892683637028,2775.0
jun_baseline,250.0,1.3072884706330736,7243.0
jun_baseline,350.0,1.2775235557378912,9434.0
jun_baseline,450.0,1.1400198844911442,11127.0
jun_baseline,600.0,1.0354844054446544,26680.0
jun_baseline,800.0,0.8633138228996037,30977.0
jun_baseline,1050.0,0.8719122090441676,53302.0
jun_baseline,1400.0,0.7966045308450804,78623.0
