village_id,farm_id,crop_type,health_index,npix_peak,on_attention_list,retain_F2.0,retain_F1.0,retain_F0.5,index_sd_F1
1,1,Rice,39.63,66,False,0.012,0.024,0.04,9.31
1,2,Rice,45.61,55,False,0.002,0.022,0.046,11.03
1,3,Rice,52.08,148,False,0.0,0.0,0.0,6.41
1,4,Maize,71.84,1,False,0.208,0.284,0.38,33.39
1,5,Groundnut,27.09,165,False,0.174,0.202,0.156,6.1
1,6,Cotton,44.6,259,False,0.0,0.0,0.0,3.84
1,7,Bajra,43.64,46,False,0.014,0.012,0.024,11.71
1,8,Groundnut,53.14,283,False,0.0,0.0,0.0,5.0
1,9,Cotton,48.01,117,False,0.0,0.0,0.0,5.47
1,10,Cotton,45.55,92,False,0.0,0.0,0.002,6.1
1,11,Cotton,32.56,130,False,0.002,0.02,0.016,4.67
1,12,Cotton,48.29,127,False,0.0,0.0,0.0,5.41
1,13,Rice,68.55,125,False,0.0,0.0,0.0,7.13
1,14,Cotton,53.92,67,False,0.0,0.0,0.0,6.66
1,15,Cotton,34.13,40,False,0.042,0.076,0.086,8.41
1,16,Groundnut,30.97,26,False,0.25,0.288,0.328,14.85
1,17,Cotton,63.94,5,False,0.014,0.082,0.134,22.64
1,18,Cotton,16.72,6,True,0.66,0.634,0.57,16.05
1,19,Bajra,56.23,10,False,0.056,0.086,0.132,22.42
1,20,Rice,63.65,79,False,0.0,0.0,0.004,8.95
1,21,Rice,73.76,162,False,0.0,0.0,0.0,5.55
1,22,Cotton,14.09,108,True,0.99,0.948,0.828,3.77
1,23,Bajra,4.1,5,True,0.906,0.794,0.62,16.31
1,24,Rice,39.93,58,False,0.02,0.072,0.114,10.53
1,25,Cotton,56.66,16,False,0.002,0.02,0.052,13.21
1,26,Rice,79.63,133,False,0.0,0.0,0.0,5.82
1,27,Rice,67.37,154,False,0.0,0.0,0.0,6.79
1,28,Cotton,48.54,61,False,0.0,0.0,0.0,7.31
1,29,Rice,64.18,162,False,0.0,0.0,0.0,6.3
1,30,Cotton,81.96,82,False,0.0,0.0,0.0,3.71
1,31,Maize,69.01,172,False,0.0,0.0,0.0,5.18
1,32,Rice,47.1,21,False,0.052,0.112,0.14,16.58
1,33,Cotton,49.36,194,False,0.0,0.0,0.0,4.59
1,34,Rice,81.78,135,False,0.0,0.0,0.0,5.55
1,35,Rice,66.23,313,False,0.0,0.0,0.0,4.79
1,36,Maize,33.74,289,False,0.016,0.022,0.024,4.44
1,37,Rice,68.91,151,False,0.0,0.0,0.0,6.45
1,38,Rice,61.14,137,False,0.0,0.0,0.0,6.66
1,39,Cotton,23.15,188,True,0.364,0.248,0.186,3.88
1,40,Cotton,50.1,158,False,0.0,0.0,0.0,4.69
1,41,Cotton,81.32,302,False,0.0,0.0,0.0,2.26
1,42,Cotton,90.4,438,False,0.0,0.0,0.0,1.71
1,43,Cotton,40.25,194,False,0.0,0.0,0.0,4.07
1,44,Cotton,50.42,92,False,0.0,0.0,0.0,6.24
1,45,Cotton,53.14,116,False,0.0,0.0,0.0,5.4
1,46,Cotton,53.16,9,False,0.048,0.096,0.126,18.69
1,47,Cotton,62.64,326,False,0.0,0.0,0.0,3.3
1,48,Cotton,33.73,161,False,0.004,0.006,0.006,4.52
1,49,Rice,68.41,464,False,0.0,0.0,0.0,4.03
1,50,Cotton,78.33,25,False,0.0,0.0,0.002,10.32
1,51,Cotton,67.03,2,False,0.076,0.094,0.15,25.1
1,52,Cotton,36.57,16,False,0.148,0.184,0.254,13.53
1,53,Cotton,61.45,47,False,0.0,0.0,0.0,8.45
1,54,Maize,68.47,40,False,0.0,0.0,0.002,9.28
1,55,Maize,87.35,52,False,0.0,0.0,0.0,6.5
1,56,Rice,57.85,100,False,0.0,0.0,0.0,8.1
1,57,Maize,48.49,1,False,0.378,0.418,0.428,30.71
1,58,Cotton,69.04,13,False,0.0,0.008,0.028,14.59
1,59,Cotton,50.36,255,False,0.0,0.0,0.0,3.95
1,60,Groundnut,55.98,71,False,0.0,0.0,0.008,9.89
1,61,Cotton,26.93,103,False,0.114,0.112,0.12,5.19
1,62,Cotton,32.72,136,False,0.012,0.054,0.096,4.82
1,63,Rice,66.0,230,False,0.0,0.0,0.0,5.43
1,64,Cotton,31.75,305,False,0.0,0.004,0.008,3.07
1,65,Rice,65.67,246,False,0.0,0.0,0.0,5.45
1,66,Rice,62.46,136,False,0.0,0.0,0.0,6.72
1,67,Cotton,77.35,287,False,0.0,0.0,0.0,2.62
1,68,Cotton,33.79,150,False,0.0,0.006,0.002,4.74
1,69,Cotton,83.58,309,False,0.0,0.0,0.0,2.74
1,70,Cotton,46.93,361,False,0.0,0.0,0.0,3.91
1,71,Groundnut,77.94,147,False,0.0,0.0,0.0,5.82
1,72,Maize,50.77,90,False,0.0,0.0,0.0,6.67
1,73,Maize,23.49,85,True,0.686,0.602,0.558,5.92
1,74,Cotton,76.68,295,False,0.0,0.0,0.0,2.69
1,75,Cotton,24.69,389,True,0.168,0.13,0.06,2.69
1,76,Cotton,24.92,434,True,0.15,0.104,0.088,2.62
1,77,Cotton,18.8,310,True,0.968,0.822,0.606,2.72
1,78,Rice,57.95,108,False,0.0,0.0,0.0,7.43
1,79,Rice,51.8,169,False,0.0,0.0,0.0,6.18
1,80,Rice,48.29,446,False,0.0,0.0,0.0,3.89
1,81,Maize,67.66,492,False,0.0,0.0,0.0,3.7
1,82,Maize,36.76,347,False,0.002,0.008,0.0,4.22
1,83,Cotton,18.66,134,True,0.908,0.736,0.556,3.89
1,84,Cotton,59.27,37,False,0.0,0.0,0.0,9.59
1,85,Cotton,84.85,410,False,0.0,0.0,0.0,1.96
1,86,Cotton,85.62,944,False,0.0,0.0,0.0,1.65
1,87,Cotton,51.26,235,False,0.0,0.0,0.0,4.01
1,88,Rice,55.66,68,False,0.0,0.0,0.004,9.38
1,89,Rice,49.21,226,False,0.0,0.0,0.002,5.62
1,90,Cotton,45.55,101,False,0.0,0.0,0.0,5.6
1,91,Cotton,44.51,50,False,0.0,0.006,0.012,7.85
1,92,Cotton,41.78,54,False,0.0,0.002,0.01,8.0
1,93,Cotton,44.29,28,False,0.0,0.026,0.032,10.84
1,94,Cotton,46.97,68,False,0.0,0.0,0.006,6.85
1,95,Cotton,71.32,69,False,0.0,0.0,0.0,6.7
1,96,Cotton,63.2,381,False,0.0,0.0,0.0,3.1
1,97,Cotton,37.92,178,False,0.0,0.0,0.006,4.28
1,98,Cotton,71.95,57,False,0.0,0.0,0.0,7.38
1,99,Cotton,68.28,12,False,0.0,0.022,0.074,15.98
1,100,Maize,59.05,329,False,0.0,0.0,0.0,3.98
1,101,Cotton,53.56,270,False,0.0,0.0,0.0,3.98
1,102,Cotton,50.46,274,False,0.0,0.0,0.0,3.82
1,103,Cotton,97.67,253,False,0.0,0.0,0.0,0.88
1,104,Groundnut,67.24,401,False,0.0,0.0,0.0,4.09
1,105,Cotton,92.78,274,False,0.0,0.0,0.0,1.61
1,106,Cotton,87.04,410,False,0.0,0.0,0.0,1.77
1,107,Cotton,26.76,92,False,0.216,0.244,0.244,5.53
1,108,Cotton,85.58,492,False,0.0,0.0,0.0,1.83
1,109,Cotton,18.68,105,True,0.86,0.668,0.452,4.32
1,110,Cotton,81.36,283,False,0.0,0.0,0.0,2.3
1,111,Groundnut,49.19,592,False,0.0,0.0,0.0,3.57
1,112,Maize,61.59,120,False,0.0,0.0,0.0,5.9
1,113,Rice,45.04,122,False,0.0,0.0,0.002,6.94
1,114,Groundnut,14.56,925,True,1.0,0.998,0.992,2.54
1,115,Cotton,42.21,372,False,0.0,0.0,0.0,2.98
1,116,Groundnut,50.43,468,False,0.0,0.0,0.0,3.96
1,117,Cotton,74.18,164,False,0.0,0.0,0.0,4.08
1,118,Rice,57.62,310,False,0.0,0.0,0.0,4.8
1,119,Cotton,78.38,150,False,0.0,0.0,0.0,3.19
1,120,Cotton,75.67,351,False,0.0,0.0,0.0,3.25
1,121,Cotton,76.25,416,False,0.0,0.0,0.0,2.65
1,122,Groundnut,66.78,267,False,0.0,0.0,0.0,5.03
1,123,Cotton,43.38,196,False,0.0,0.0,0.0,4.09
1,124,Groundnut,20.97,240,True,0.86,0.826,0.754,4.11
1,125,Groundnut,55.44,333,False,0.0,0.0,0.0,4.51
1,126,Groundnut,28.14,217,False,0.062,0.054,0.044,5.25
1,127,Groundnut,61.38,136,False,0.0,0.0,0.0,7.11
1,128,Groundnut,85.07,61,False,0.0,0.0,0.0,8.07
1,129,Groundnut,69.59,67,False,0.0,0.0,0.0,9.27
1,130,Cotton,45.03,375,False,0.0,0.0,0.0,3.08
1,131,Groundnut,68.54,95,False,0.0,0.0,0.0,8.58
1,132,Bajra,55.98,56,False,0.0,0.0,0.008,11.19
1,133,Groundnut,71.16,68,False,0.0,0.0,0.0,9.0
1,134,Groundnut,38.88,162,False,0.0,0.002,0.008,6.3
1,135,Cotton,15.84,803,True,1.0,1.0,0.998,1.87
1,136,Cotton,60.99,173,False,0.0,0.0,0.0,4.42
1,137,Cotton,92.1,601,False,0.0,0.0,0.0,1.7
1,138,Cotton,95.16,273,False,0.0,0.0,0.0,1.48
1,139,Groundnut,49.88,327,False,0.0,0.0,0.0,4.66
1,140,Cotton,30.53,65,False,0.02,0.044,0.034,6.59
1,141,Maize,57.86,134,False,0.0,0.0,0.0,5.7
1,142,Groundnut,73.9,652,False,0.0,0.0,0.0,3.37
1,143,Cotton,44.33,199,False,0.0,0.0,0.0,4.36
1,144,Groundnut,76.78,859,False,0.0,0.0,0.0,3.02
1,145,Groundnut,76.2,415,False,0.0,0.0,0.0,3.94
1,146,Cotton,29.91,210,False,0.004,0.006,0.006,3.64
1,147,Cotton,77.97,183,False,0.0,0.0,0.0,4.07
1,148,Cotton,37.32,71,False,0.004,0.008,0.01,6.37
1,149,Maize,38.6,371,False,0.002,0.002,0.004,3.86
1,150,Cotton,30.87,240,False,0.0,0.006,0.016,3.47
1,151,Cotton,79.81,139,False,0.0,0.0,0.0,4.32
1,152,Groundnut,56.4,85,False,0.0,0.0,0.0,8.78
1,153,Cotton,52.02,71,False,0.0,0.0,0.0,6.9
1,154,Cotton,94.26,213,False,0.0,0.0,0.0,1.51
1,155,Bajra,43.26,129,False,0.002,0.004,0.004,7.82
1,156,Groundnut,72.02,268,False,0.0,0.0,0.0,4.65
1,157,Groundnut,54.8,120,False,0.0,0.0,0.002,7.88
1,158,Maize,33.23,125,False,0.034,0.06,0.072,5.61
