capella,s2,gap_days,same_day,feature,crop,n,rho,p,clears
20251013,20251013,0,True,g0_db,Rice,86,0.6901,1.9898444258673013e-13,True
20251013,20251013,0,True,g0_db,Cotton,401,0.5181,6.381663447462977e-29,True
20251013,20251013,0,True,g0_db,Maize,54,0.2258,0.10069511473094256,False
20251013,20251013,0,True,g0_db,Bajra,146,0.5189,1.9486568626130773e-11,True
20251013,20251013,0,True,g0_db,Groundnut,220,0.3305,5.28239436602612e-07,False
20251013,20251013,0,True,b0_db,Rice,86,0.6801,5.944671073249351e-13,True
20251013,20251013,0,True,b0_db,Cotton,401,0.5135,2.303005658968513e-28,True
20251013,20251013,0,True,b0_db,Maize,54,0.2185,0.11239901061461215,False
20251013,20251013,0,True,b0_db,Bajra,146,0.5167,2.4613215961037888e-11,True
20251013,20251013,0,True,b0_db,Groundnut,220,0.326,7.660340744161806e-07,False
20251013,20251013,0,True,cv,Rice,86,0.1976,0.06819542770916243,False
20251013,20251013,0,True,cv,Cotton,401,-0.0345,0.49043817376764876,False
20251013,20251013,0,True,cv,Maize,53,-0.1214,0.386396919968657,False
20251013,20251013,0,True,cv,Bajra,146,0.0424,0.6113248924463961,False
20251013,20251013,0,True,cv,Groundnut,220,-0.1873,0.005317535199644687,False
20251013,20251013,0,True,ktex,Rice,85,0.1944,0.07467567412006923,False
20251013,20251013,0,True,ktex,Cotton,388,-0.056,0.271490653581179,False
20251013,20251013,0,True,ktex,Maize,49,-0.1931,0.18366495512114522,False
20251013,20251013,0,True,ktex,Bajra,137,-0.014,0.8713183177398252,False
20251013,20251013,0,True,ktex,Groundnut,211,-0.1565,0.023011790905951405,False
20251013,20251013,0,True,glcm_resid,Rice,86,0.5933,1.7523624045360826e-09,True
20251013,20251013,0,True,glcm_resid,Cotton,399,0.0345,0.49224557463413454,False
20251013,20251013,0,True,glcm_resid,Maize,51,0.267,0.05825142720518073,False
20251013,20251013,0,True,glcm_resid,Bajra,146,0.3169,9.757774239186038e-05,False
20251013,20251013,0,True,glcm_resid,Groundnut,220,0.2345,0.00045213672718589517,False
20251013,20251013,0,True,nesz_margin_db,Rice,86,0.6801,5.944671073249351e-13,True
20251013,20251013,0,True,nesz_margin_db,Cotton,401,0.5135,2.303005658968513e-28,True
20251013,20251013,0,True,nesz_margin_db,Maize,54,0.2185,0.11239901061461215,False
20251013,20251013,0,True,nesz_margin_db,Bajra,146,0.5167,2.4613215961037888e-11,True
20251013,20251013,0,True,nesz_margin_db,Groundnut,220,0.326,7.660340744161806e-07,False
20251029,20251023,-6,False,g0_db,Rice,69,0.3941,0.000807048907007181,False
20251029,20251023,-6,False,g0_db,Cotton,369,0.3313,6.638791241368353e-11,False
20251029,20251023,-6,False,g0_db,Maize,48,0.2184,0.1358621487545913,False
20251029,20251023,-6,False,g0_db,Bajra,132,0.1971,0.02352366479306332,False
20251029,20251023,-6,False,g0_db,Groundnut,203,0.2168,0.0018901131177533376,False
20251029,20251023,-6,False,b0_db,Rice,69,0.4002,0.0006568037568203333,False
20251029,20251023,-6,False,b0_db,Cotton,369,0.3321,5.96720161321531e-11,False
20251029,20251023,-6,False,b0_db,Maize,48,0.2235,0.12673224302713934,False
20251029,20251023,-6,False,b0_db,Bajra,132,0.1981,0.022764550174090844,False
20251029,20251023,-6,False,b0_db,Groundnut,203,0.2157,0.0019944480617156727,False
20251029,20251023,-6,False,cv,Rice,69,-0.2262,0.06159277033467579,False
20251029,20251023,-6,False,cv,Cotton,369,0.0425,0.41573127884399486,False
20251029,20251023,-6,False,cv,Maize,47,-0.1194,0.4238711725305807,False
20251029,20251023,-6,False,cv,Bajra,132,0.0712,0.41716270203953354,False
20251029,20251023,-6,False,cv,Groundnut,203,-0.04,0.5708768766042356,False
20251029,20251023,-6,False,ktex,Rice,68,-0.2088,0.08742189862684728,False
20251029,20251023,-6,False,ktex,Cotton,355,0.0678,0.20253476073940255,False
20251029,20251023,-6,False,ktex,Maize,44,-0.09,0.5613106452833634,False
20251029,20251023,-6,False,ktex,Bajra,124,0.0579,0.5228513749147998,False
20251029,20251023,-6,False,ktex,Groundnut,194,-0.0292,0.6865318449128541,False
20251029,20251023,-6,False,glcm_resid,Rice,69,0.1618,0.1840488659649645,False
20251029,20251023,-6,False,glcm_resid,Cotton,366,0.1102,0.035026952962517344,False
20251029,20251023,-6,False,glcm_resid,Maize,47,0.0065,0.9655431462870433,False
20251029,20251023,-6,False,glcm_resid,Bajra,132,0.2621,0.0024001749846636255,False
20251029,20251023,-6,False,glcm_resid,Groundnut,202,0.0062,0.9301179081866167,False
20251029,20251023,-6,False,nesz_margin_db,Rice,69,0.4002,0.0006568037568203333,False
20251029,20251023,-6,False,nesz_margin_db,Cotton,369,0.3321,5.96720161321531e-11,False
20251029,20251023,-6,False,nesz_margin_db,Maize,48,0.2235,0.12673224302713934,False
20251029,20251023,-6,False,nesz_margin_db,Bajra,132,0.1981,0.022764550174090844,False
20251029,20251023,-6,False,nesz_margin_db,Groundnut,203,0.2157,0.0019944480617156727,False
20251112,20251112,0,True,g0_db,Rice,86,0.5613,1.8947917812467166e-08,True
20251112,20251112,0,True,g0_db,Cotton,420,0.5218,1.0450472561215626e-30,True
