zone_id,n_farms,area_ha,health_aw,yield_aw_t_ha,production_t,health_sd,dominant_crop
1,8,6.117,46.6,2.1932,13.416,11.18,Groundnut
2,15,7.303,56.56,1.9141,13.979,18.21,Cotton
3,26,5.538,47.4,1.8951,10.495,20.17,Bajra
4,59,11.286,42.14,1.3979,15.777,23.2,Cotton
5,15,2.721,46.59,0.8081,2.199,14.25,Cotton
1001,11,7.765,50.63,1.6009,12.431,18.28,Cotton
1002,30,13.285,39.16,1.453,19.303,15.13,Cotton
1003,31,9.25,53.66,1.4529,13.44,16.44,Cotton
1004,40,7.113,50.65,1.6376,11.648,15.19,Cotton
1005,59,7.735,49.15,1.3382,10.351,16.71,Cotton
2001,16,14.072,57.02,1.8549,26.103,19.89,Cotton
2002,16,13.728,47.29,2.0053,27.529,19.5,Groundnut
2003,34,13.309,37.03,1.7246,22.953,16.05,Cotton
2004,7,1.787,43.74,1.5109,2.7,14.8,Bajra
2005,35,5.178,51.46,1.6262,8.419,17.93,Cotton
3000,7,4.304,49.05,1.1975,5.154,16.15,Cotton
3001,17,16.558,41.56,1.7093,28.301,19.53,Groundnut
3002,22,18.939,48.01,1.5959,30.225,23.52,Cotton
3003,20,15.231,56.45,1.8362,27.968,20.94,Cotton
3004,45,7.887,48.37,1.5089,11.901,19.11,Cotton
3005,17,7.88,55.6,1.7315,13.644,13.7,Cotton
3006,9,1.851,48.18,1.9145,3.543,13.18,Bajra
4001,17,11.019,48.63,1.5961,17.588,16.57,Cotton
4002,18,14.046,45.71,1.8398,25.842,15.78,Groundnut
4003,26,17.113,45.63,1.4339,24.538,17.99,Cotton
4004,28,13.299,46.98,1.6345,21.738,15.78,Bajra
4005,28,13.266,40.8,1.5733,20.871,18.69,Cotton
4006,33,9.497,45.89,1.4022,13.316,15.17,Cotton
5000,11,5.243,53.99,0.9987,5.236,15.43,Cotton
5001,18,12.499,51.11,1.7116,21.394,21.91,Cotton
5002,10,6.38,49.12,1.6577,10.576,17.67,Cotton
5004,11,8.552,49.35,1.6645,14.234,16.48,Cotton
5005,15,9.061,50.74,1.8932,17.154,14.04,Cotton
5006,29,12.397,61.81,1.1076,13.731,15.09,Cotton
5007,5,0.771,36.62,0.9605,0.74,13.84,Cotton
6000,16,10.488,67.62,1.498,15.711,17.56,Cotton
6001,17,14.65,72.78,1.3981,20.481,18.96,Cotton
6002,12,8.417,54.13,1.8364,15.458,11.08,Cotton
6003,16,10.609,47.22,1.6209,17.196,22.83,Cotton
6004,22,19.962,52.48,1.345,26.848,20.16,Cotton
6006,10,1.032,55.14,1.4613,1.508,14.87,Cotton
7001,8,3.517,76.32,1.6559,5.824,16.25,Cotton
7002,14,6.156,59.48,1.1961,7.363,23.44,Cotton
7003,21,15.575,59.58,1.5161,23.612,22.73,Cotton
7004,14,10.086,50.02,1.713,17.277,13.7,Rice
8004,6,2.998,38.36,0.828,2.482,10.4,Cotton
