zone_id,n_farms,yield_aw_t_ha,ens_sd_t_ha,ens_range_t_ha
1,8,2.1932,0.0381,0.1196
2,15,1.9141,0.0122,0.0391
3,26,1.8951,0.0227,0.0617
4,59,1.3979,0.0124,0.0402
5,15,0.8081,0.0113,0.0385
1001,11,1.6009,0.014,0.0462
1002,30,1.453,0.0102,0.0264
1003,31,1.4529,0.0085,0.028
1004,40,1.6376,0.0217,0.0616
1005,59,1.3382,0.0133,0.0445
2001,16,1.8549,0.0236,0.0755
2002,16,2.0053,0.0137,0.0435
2003,34,1.7246,0.0061,0.0183
2004,7,1.5109,0.0174,0.0474
2005,35,1.6262,0.0154,0.0431
3000,7,1.1975,0.0066,0.0193
3001,17,1.7092,0.0209,0.0623
3002,22,1.5959,0.0131,0.0418
3003,20,1.8362,0.0036,0.0094
3004,45,1.5089,0.0092,0.0309
3005,17,1.7315,0.0244,0.0753
3006,9,1.9145,0.0422,0.1366
4001,17,1.5961,0.0183,0.0609
4002,18,1.8398,0.0193,0.0621
4003,26,1.4339,0.0109,0.0335
4004,28,1.6345,0.0128,0.0379
4005,28,1.5733,0.0614,0.2008
4006,33,1.4022,0.028,0.0898
5000,11,0.9987,0.0063,0.0199
5001,18,1.7116,0.0402,0.1263
5002,10,1.6577,0.0347,0.1139
5004,11,1.6645,0.0178,0.0625
5005,15,1.8932,0.0289,0.0875
5006,29,1.1076,0.0253,0.0843
5007,5,0.9605,0.0219,0.0605
6000,16,1.498,0.0106,0.0363
6001,17,1.3981,0.0214,0.069
6002,12,1.8364,0.016,0.0537
6003,16,1.6209,0.0182,0.0586
6004,22,1.345,0.0035,0.0113
6006,10,1.4613,0.021,0.0634
7001,8,1.6559,0.0429,0.136
7002,14,1.1961,0.0102,0.0306
7003,21,1.5161,0.0129,0.0442
7004,14,1.713,0.012,0.029
8004,6,0.828,0.0141,0.0444
