farm_id,s1_vv_db_20250507,s1_vh_db_20250507,s1_vv_db_20250519,s1_vh_db_20250519,s1_vv_db_20250531,s1_vh_db_20250531,s1_vv_db_20250612,s1_vh_db_20250612,s1_vv_db_20250624,s1_vh_db_20250624,s1_vv_db_20250706,s1_vh_db_20250706,s1_vv_db_20250718,s1_vh_db_20250718,s1_vv_db_20250730,s1_vh_db_20250730,s1_vv_db_20250823,s1_vh_db_20250823,s1_vv_db_20250904,s1_vh_db_20250904,s1_vv_db_20250916,s1_vh_db_20250916,s1_vv_db_20250928,s1_vh_db_20250928,s1_vv_db_20251010,s1_vh_db_20251010,s1_vv_db_20251022,s1_vh_db_20251022,s1_vv_db_20251103,s1_vh_db_20251103,s1_vv_db_20251115,s1_vh_db_20251115,s1_vv_db_20251127,s1_vh_db_20251127,s1_vv_db_20251209,s1_vh_db_20251209
1,-7.990875871515183,-14.912972635850483,-11.30550703398644,-19.498313779048964,-9.329707048338962,-17.54954194672555,-10.296170191673376,-18.160099467306495,-6.2483068594930335,-15.482445455508802,-6.439249716016531,-13.23769831539395,-7.236932070254543,-14.802336263168653,-4.047320554251169,-13.790863366324233,-8.16221339456744,-17.073833535709177,-9.335598056772895,-16.420729512742838,-10.254090764707628,-17.910019525037676,-6.933299864489796,-20.009626181285686,-6.399388612769239,-18.353249255834704,-9.192419652901243,-18.213727918087454,-6.419074246067539,-13.83387256822357,-9.843947789671592,-15.679695736199772,-6.04201450074489,-15.431980977035966,-7.735091285014666,-15.027717312835353
2,-6.00179840298334,-14.91272918081721,-11.416663373834286,-16.797562483950472,-10.05723558451157,-15.347498851299164,-9.904800192870876,-15.733217677756713,-7.873379067095353,-17.66082778602306,-7.72564696897661,-16.13098271461046,-9.989955024060105,-15.864103062030548,-7.497564286556004,-15.747231150180776,-8.367243710330232,-14.86793137858265,-9.699875184184085,-15.197418114365417,-9.639948142711805,-16.051036519599403,-9.860858693966069,-18.540472799500694,-8.90494435573698,-17.958114447608587,-11.314212053250948,-18.923995732418053,-4.649625014038524,-14.583528092515953,-8.142638218777012,-16.540403302027336,-8.669719262413004,-16.11272393751696,-11.671554134209876,-17.861883131780797
3,-4.5761794881870355,-12.302401057981962,-8.716277362329588,-15.24620688772746,-7.698220476137311,-15.993528078358803,-7.779083332195,-18.31056910443963,-8.8028670027536,-17.700669155150063,-10.480720833565911,-17.895429613854294,-9.276863833251994,-16.356707102773566,-4.778761498819729,-11.5851840537985,-8.22228763682476,-17.64281268315671,-10.438759062045808,-17.145023846166623,-11.044155494953976,-17.380734305474963,-10.414498208664014,-17.666310682221567,-6.493772745541747,-15.85837533964908,-7.306982727575403,-16.47790087488561,-5.462987888110731,-12.86923481553212,-6.6374449385380165,-13.031318305077823,-4.433367742370246,-12.305760748792999,-5.272911984693974,-13.636624365976829
4,-9.021774305911844,-13.414610083490953,-11.641056653173987,-20.00465296249991,-9.003654458291088,-15.306327457461833,-9.968136131768807,-17.592647649186222,-7.717552140253488,-14.223275746773362,-9.237152800969277,-14.764999887160675,-8.36537849194181,-13.965658297128762,-6.762883250268499,-14.07491574129754,-7.7081143501739655,-17.51234796260907,-8.927585634574198,-15.923274775378765,-10.002058843065345,-16.849505856438192,-10.981304189103149,-17.45076350243722,-11.256901483865498,-14.567214997182255,-10.613327264008277,-15.62540928932454,-6.85875896040931,-14.010877257610488,-8.246736153354885,-16.021315007308797,-8.019296965782726,-13.061674281579936,-8.257603409045695,-15.012990268345611
5,-6.541822388345193,-13.099808107755223,-7.988333209493871,-14.99348355126649,-8.16944118774764,-14.733524404933318,-8.304497636273032,-14.960242922997995,-8.904426630513738,-14.799840409505439,-6.381914106458346,-14.455331386767565,-9.468015144454307,-12.025486512180475,-5.723036426501547,-12.694158396579741,-7.509360283453212,-14.014647847991688,-9.49124787532538,-13.046541553254922,-9.25486078565026,-15.163596610330996,-9.38426204842319,-15.014622260372164,-6.510147610227488,-15.157432304625063,-6.893396852286862,-14.80217152291784,-6.875357123276454,-12.68272404431287,-5.422082618162236,-13.534872618380744,-6.087041267210434,-13.619294843634325,-7.339540494113635,-13.18290333972543
6,-6.704445438147983,-14.783335607367478,-9.764522464263013,-16.972482328896625,-9.657956224062689,-17.159372488443907,-9.23073775073501,-17.65937998328075,-7.939237796499601,-15.544758263259999,-8.360599930380229,-14.54730151782669,-8.154751761575854,-12.236238180915995,-4.993246217174846,-12.594181022724973,-6.495787459500935,-14.505249155789867,-8.183304248022786,-14.500627879261538,-10.181519757048038,-16.084355274621732,-10.343929785332467,-17.341175456157107,-9.926941582296111,-15.901694990333601,-6.908971431725545,-16.35456189487354,-7.55152863574024,-15.983791756322143,-8.547747024743739,-15.932710851275607,-7.591554261588693,-14.764048951330293,-6.267117277499176,-12.064446961297442
7,-7.550112161606445,-15.179278088848658,-9.51557660740043,-16.834005615521658,-10.431191307624527,-14.231147368164569,-8.227323773326983,-18.27709294066222,-7.254345324761732,-15.085242029693713,-7.391827111273297,-15.091411756653226,-7.186936969227144,-13.149164875858999,-6.812252504958031,-13.533262204686526,-8.629092450243208,-17.0115599470068,-11.390190595422585,-18.45532289501824,-9.876982594790256,-16.84656108830295,-11.27201710387115,-17.42718209007022,-9.352922453002115,-16.5090720570971,-9.510547044796882,-17.967198270135135,-7.468798637311156,-13.860333616723848,-9.005970628991129,-15.500586610175775,-7.617914655667562,-16.68798304968645,-7.3027263456860245,-14.756537713807871
8,-7.6992542081914115,-12.96728454189602,-10.144325009935155,-15.472352340580235,-9.017446822688251,-14.047657952091697,-9.70101451058284,-16.16329751066477,-7.143865218051784,-13.920194050253968,-7.561563215129768,-12.971501580596067,-8.633713126193651,-14.329397355241554,-5.451374116440175,-13.410549836014699,-3.4466581128411145,-16.77024340393552,-6.477361902993821,-16.51358772784567,-8.83244417043491,-17.384339033630813,-9.445662400955639,-18.126397327186247,-8.500179825190678,-15.807261074478316,-8.152843204594944,-16.051644272880917,-5.393972745879854,-13.363246427261197,-5.809740216122466,-13.720435763439099,-6.397787974881746,-12.488966089999016,-5.897899007422268,-11.920239418712491
9,-7.915625650150039,-14.573958429107465,-11.508022877053595,-16.751023356180816,-10.105785209934002,-15.560212146394827,-10.559188217799322,-16.233646608759173,-9.045998579008067,-13.669238717209332,-9.214498554057508,-13.57519578398892,-9.236028736631004,-13.991761118273988,-8.280540419254638,-12.734451090470158,-7.0471828467853515,-12.920973278145965,-8.067547534529925,-12.32288872053579,-6.87685253088147,-14.018722508858147,-9.155428471990463,-12.614703282411103,-8.440522515739833,-12.736296984651041,-7.8707151925295555,-14.888239174994784,-8.282943908910863,-12.933098307830779,-7.685833706283893,-13.448659181192692,-8.068192270856203,-15.706369366652837,-7.552961780875092,-14.45617632636232
10,-8.176934502773967,-14.399603354403169,-11.880655044835365,-18.616737721259355,-10.880487048454125,-17.034566190581373,-11.779312040443896,-17.23494636857248,-7.299210892804579,-12.54797800798796,-7.490893429172276,-11.988314273755137,-8.104397588537,-11.710268612036103,-5.662884867393149,-14.985635572445197,-6.154201359357946,-14.835976582748875,-6.84309952706041,-13.658955318893163,-9.128283403412679,-16.59021133408986,-10.650370390782935,-17.286303443368475,-7.873393740969451,-17.257274580654894,-8.931082152578423,-15.041546523395308,-5.04247413709664,-13.394408737715702,-7.867364179915003,-15.020160127976931,-8.26942604455265,-14.723784702475719,-5.52908905685049,-15.028307419183449
11,-8.11207647836904,-15.166820407277449,-8.778712382127193,-17.036450560647012,-10.385873971799839,-16.264148230962373,-10.305506985856784,-16.20504038627906,-7.760033756392966,-13.507573022690897,-8.09074621481938,-12.821018705766374,-7.20247164415691,-12.259920143101528,-6.011666540872806,-13.851208788870004,-7.119391746552855,-12.231909424079554,-6.3524121229032415,-13.945395725817583,-8.356312381112179,-14.866708438316692,-9.176799997193761,-15.671464148521983,-8.477821955047235,-15.630707816921474,-10.111237870642547,-15.802574873980461,-6.4985072752111765,-13.680586617012278,-11.451419041040205,-14.078204011815245,-9.349783373232563,-16.350229622507896,-8.99842648567069,-15.901744577235311
12,-7.081830347324263,-12.219262219040278,-10.693019045089562,-19.006776007381884,-8.589032726245515,-16.982794080583687,-10.201417877074661,-18.13145010465589,-6.709340808560489,-12.499477851979856,-8.110700497051779,-13.929558099063378,-7.317199953224193,-13.448126598986153,-8.306596943293652,-13.006669446677934,-7.076770180417615,-11.39622777065032,-7.570863216139884,-11.664178139922152,-8.179773899248202,-15.949742723556238,-11.735025719352745,-18.53205249215892,-8.009774894530441,-16.08936186994797,-8.173389778030408,-16.48568537118606,-6.544316387743375,-13.045628863768107,-7.93676803696736,-14.216462434294908,-8.254027320753172,-15.399066561097712,-5.830607539286902,-13.690192732260893
13,-3.886501322169609,-11.097307573601725,-9.501119016462908,-17.10803852667381,-8.141598008257994,-16.886639363881876,-9.010232712319352,-17.80491457084217,-9.896489616193463,-15.82054567110532,-9.405866428675308,-16.406715604993092,-11.801739621771857,-18.304013531215062,-4.247919470004065,-13.777305368131765,-11.32002496194071,-16.599430533856946,-11.898896274955924,-17.31335199325199,-9.236753652213599,-16.288212563959398,-11.024158976003964,-17.691273077302093,-8.071290164632805,-16.811630687864533,-8.569361819374702,-17.084184645146042,-6.146952201856203,-13.773095299267537,-6.660180138288489,-14.48153791818208,-6.188154011709669,-13.98135056317763,-3.933894548729944,-14.144604034436906
