farm_id,ndvi_20250501,ndvi_valid_20250501,ndvi_20250511,ndvi_valid_20250511,ndvi_20251013,ndvi_valid_20251013,ndvi_20251018,ndvi_valid_20251018,ndvi_20251023,ndvi_valid_20251023,ndvi_20251107,ndvi_valid_20251107,ndvi_20251109,ndvi_valid_20251109,ndvi_20251112,ndvi_valid_20251112,ndvi_20251117,ndvi_valid_20251117,ndvi_20251122,ndvi_valid_20251122,ndvi_20251127,ndvi_valid_20251127,ndvi_20251129,ndvi_valid_20251129,ndvi_20251202,ndvi_valid_20251202,ndvi_20251207,ndvi_valid_20251207,ndvi_20251212,ndvi_valid_20251212
1,0.14802065404475043,1.0,0.07698709945900957,0.5714285714285714,0.1786882692008101,1.0,0.19648380270226273,1.0,0.2718078381795196,1.0,0.27998690885288824,1.0,0.2738521654184305,1.0,0.25339440536561425,1.0,0.22587601078167116,1.0,0.22088208820882088,1.0,0.24018394057304562,1.0,0.2880465378119722,1.0,0.33423820834747203,1.0,0.39739063699155797,1.0,0.41696836140406107,1.0
2,0.12333463186599143,1.0,0.094471343317194,0.0,0.15164473684210528,1.0,0.14995207806918184,1.0,0.14382022471910114,1.0,0.20581956195145093,1.0,0.22453416149068323,1.0,0.25446153846153846,1.0,0.16420614074812065,1.0,0.1478132496770622,1.0,0.15041179020372777,1.0,0.15466616794464186,1.0,0.16097197653849735,1.0,0.17878591887646678,1.0,0.2003775365738556,1.0
3,0.4756886015410504,1.0,0.220613385018812,0.0,0.2956721846930443,1.0,0.35204466576127963,1.0,0.35449995897940767,1.0,0.49746582706189524,1.0,0.5152240592503927,1.0,0.5239635401352544,1.0,0.5118459666451937,1.0,0.5469024065109099,1.0,0.43378457916421426,1.0,0.5144998864238661,1.0,0.5496385897625018,1.0,0.5843797633737389,1.0,0.5642649579017956,1.0
4,0.34605037906578623,1.0,0.1113776559287183,0.0,0.2359161033107991,1.0,0.2875161386433608,1.0,0.275920781432028,1.0,0.35979977561059806,1.0,0.3503154196278847,1.0,0.3078485035755275,1.0,0.3159048743464328,1.0,0.32059731375656964,1.0,0.3024081115335868,1.0,0.3581641016300883,1.0,0.39721766179901496,1.0,0.42870836328780254,1.0,0.4300988174307468,1.0
5,0.1445305770887166,1.0,0.07073221323376892,0.0,0.19368183527641972,1.0,0.16550706304026988,1.0,0.2246818894892801,1.0,0.31583403895004236,1.0,0.2805560264451602,1.0,0.2634730538922156,1.0,0.3020689655172414,1.0,0.321377331420373,1.0,0.3047619047619048,1.0,0.38001800180018,1.0,0.4060797750834651,1.0,0.4638051439277806,1.0,0.4462454515382071,1.0
6,0.2506938020351526,1.0,0.1276923076923077,0.0,0.2635867209846581,1.0,0.21858339680121858,1.0,0.24435196195005945,1.0,0.30292614955875524,1.0,0.3140052712896483,1.0,0.31714942528735635,1.0,0.3248429274919341,1.0,0.3452590912908373,1.0,0.3030328488616315,1.0,0.3474576271186441,1.0,0.38725128960943256,1.0,0.4382716049382716,1.0,0.4275643285160381,1.0
7,0.21917290390867167,1.0,0.13452065176203107,0.0,0.2577789464457884,1.0,0.27813504823151125,1.0,0.2566340474301331,1.0,0.3644632126035407,1.0,0.3748451053283767,1.0,0.3913836334625028,1.0,0.427597450718838,1.0,0.4982598607888631,1.0,0.3922014868760431,1.0,0.4734906037584966,1.0,0.5213155638687553,1.0,0.5856472865331646,1.0,0.5719193427931292,1.0
8,0.1444832296251328,1.0,0.10760053026955368,0.0,0.2361610352264558,1.0,0.2657559198542805,1.0,0.2928565152447061,1.0,0.4654872847891328,1.0,0.4853687667960585,1.0,0.5156441055887219,1.0,0.535643843336151,1.0,0.580260759848591,1.0,0.47348172574883207,1.0,0.5641632994287307,1.0,0.6037433155080214,1.0,0.6431255669301542,1.0,0.6196882909284668,1.0
9,0.22658744894170071,1.0,-0.006056742110296462,0.0,0.4446140797285835,1.0,0.4466748123581777,1.0,0.4015420601230183,1.0,0.42442173211403983,1.0,0.4307830783078308,1.0,0.4231969332263529,1.0,0.38535201276822134,1.0,0.3977098548372554,1.0,0.29848055627092457,1.0,0.3528695814998596,1.0,0.3716045925511061,1.0,0.38342644320297953,1.0,0.33744477172312226,1.0
10,0.1943207126948775,1.0,-0.0035559067562228367,0.0,0.3605571383349161,1.0,0.40120711562897077,1.0,0.4033968583047604,1.0,0.513570961412688,1.0,0.5316778096147724,1.0,0.5355799373040753,1.0,0.5055098556573026,1.0,0.5392563600782779,1.0,0.40692508043511566,1.0,0.4871048589214973,1.0,0.5211833748693625,1.0,0.5552392249901147,1.0,0.5029341267873378,1.0
